"player","date","time","result"
"1random","4/8/2019","30 sec","Won"
"1random","4/8/2019","30 sec","Won"
"1random","4/8/2019","30 sec","Lost"
"1random","4/8/2019","30 sec","Won"
"1random","4/8/2019","30 sec","Lost"
"1random","4/8/2019","30 sec","Draw"
"1random","4/8/2019","30 sec","Won"
"1random","4/8/2019","30 sec","Won"
"1random","4/8/2019","30 sec","Won"
"1random","4/8/2019","30 sec","Won"
"1random","4/8/2019","30 sec","Won"
"1random","4/8/2019","30 sec","Won"
"1random","4/8/2019","30 sec","Won"
"1random","4/8/2019","30 sec","Lost"
"1random","4/8/2019","30 sec","Won"
"1random","4/8/2019","30 sec","Won"
"1random","4/8/2019","30 sec","Won"
"1random","4/8/2019","30 sec","Lost"
"1random","4/8/2019","30 sec","Won"
"1random","4/8/2019","30 sec","Draw"
"1random","4/8/2019","30 sec","Lost"
"1random","4/8/2019","30 sec","Won"
"1random","4/8/2019","30 sec","Lost"
"1random","4/8/2019","30 sec","Won"
"1random","4/8/2019","30 sec","Won"
"1random","4/8/2019","30 sec","Won"
"1random","4/8/2019","30 sec","Won"
"1random","4/8/2019","30 sec","Lost"
"1random","4/8/2019","30 sec","Draw"
"1random","4/8/2019","30 sec","Won"
"1random","4/8/2019","30 sec","Won"
"1random","4/8/2019","30 sec","Won"
"1random","4/8/2019","30 sec","Won"
"1random","4/8/2019","30 sec","Won"
"1random","4/7/2019","30 sec","Won"
"1random","4/7/2019","30 sec","Draw"
"1random","4/7/2019","30 sec","Won"
"1random","4/7/2019","30 sec","Lost"
"1random","4/7/2019","30 sec","Won"
"1random","4/7/2019","30 sec","Lost"
"1random","4/7/2019","30 sec","Won"
"1random","4/7/2019","30 sec","Won"
"1random","4/7/2019","30 sec","Won"
"1random","4/7/2019","30 sec","Draw"
"1random","4/7/2019","30 sec","Won"
"1random","4/7/2019","30 sec","Lost"
"1random","4/7/2019","30 sec","Lost"
"1random","4/7/2019","30 sec","Won"
"1random","4/7/2019","30 sec","Draw"
"1random","4/7/2019","30 sec","Won"
"1random","4/1/2019","30 sec","Lost"
"1random","4/1/2019","30 sec","Lost"
"1random","4/1/2019","30 sec","Lost"
"1random","4/1/2019","30 sec","Lost"
"1random","4/1/2019","30 sec","Draw"
"1random","4/1/2019","30 sec","Won"
"1random","4/1/2019","30 sec","Lost"
"1random","4/1/2019","30 sec","Lost"
"1random","4/1/2019","30 sec","Lost"
"1random","4/1/2019","30 sec","Won"
"1random","4/1/2019","30 sec","Lost"
"1random","4/1/2019","30 sec","Lost"
"1random","4/1/2019","30 sec","Lost"
"1random","4/1/2019","30 sec","Won"
"1random","4/1/2019","30 sec","Lost"
"1random","4/1/2019","30 sec","Lost"
"1random","4/1/2019","30 sec","Lost"
"1random","4/1/2019","30 sec","Lost"
"1random","4/1/2019","30 sec","Lost"
"1random","4/1/2019","30 sec","Lost"
"1random","4/1/2019","30 sec","Lost"
"1random","4/1/2019","30 sec","Lost"
"1random","3/31/2019","30 sec","Lost"
"1random","3/31/2019","30 sec","Lost"
"1random","3/31/2019","30 sec","Lost"
"1random","3/31/2019","30 sec","Lost"
