player,date,time,result
ARMCOMPOSER,4/6/2019,1|1,Won
ARMCOMPOSER,4/6/2019,1|1,Won
ARMCOMPOSER,4/6/2019,1|1,Lost
ARMCOMPOSER,4/6/2019,1|1,Won
ARMCOMPOSER,4/6/2019,1|1,Won
ARMCOMPOSER,4/6/2019,1|1,Lost
ARMCOMPOSER,4/6/2019,1|1,Won
ARMCOMPOSER,4/6/2019,1|1,Won
ARMCOMPOSER,4/6/2019,1|1,Lost
ARMCOMPOSER,4/6/2019,1|1,Won
ARMCOMPOSER,4/6/2019,1|1,Lost
ARMCOMPOSER,4/6/2019,1|1,Won
ARMCOMPOSER,4/6/2019,1|1,Won
ARMCOMPOSER,4/6/2019,1|1,Won
ARMCOMPOSER,4/6/2019,1|1,Lost
ARMCOMPOSER,4/5/2019,1|1,Draw
ARMCOMPOSER,4/5/2019,1|1,Draw
ARMCOMPOSER,4/5/2019,1|1,Won
ARMCOMPOSER,4/5/2019,1|1,Won
ARMCOMPOSER,4/5/2019,1|1,Won
ARMCOMPOSER,4/5/2019,1|1,Lost
ARMCOMPOSER,4/5/2019,1|1,Won
ARMCOMPOSER,4/5/2019,1|1,Won
ARMCOMPOSER,4/5/2019,1|1,Won
ARMCOMPOSER,4/5/2019,1|1,Lost
ARMCOMPOSER,4/5/2019,1|1,Won
ARMCOMPOSER,4/5/2019,1|1,Lost
ARMCOMPOSER,4/5/2019,1|1,Won
ARMCOMPOSER,4/5/2019,1|1,Won
ARMCOMPOSER,4/5/2019,1|1,Draw
ARMCOMPOSER,4/5/2019,1|1,Lost
ARMCOMPOSER,4/5/2019,1|1,Won
ARMCOMPOSER,4/5/2019,1|1,Lost
ARMCOMPOSER,4/5/2019,1|1,Won
ARMCOMPOSER,4/5/2019,1|1,Won
ARMCOMPOSER,4/4/2019,1|1,Won
ARMCOMPOSER,4/4/2019,1|1,Lost
ARMCOMPOSER,4/4/2019,1|1,Won
ARMCOMPOSER,4/4/2019,1|1,Won
ARMCOMPOSER,4/4/2019,1|1,Draw
ARMCOMPOSER,4/4/2019,1|1,Lost
ARMCOMPOSER,4/4/2019,1|1,Won
ARMCOMPOSER,4/4/2019,1|1,Won
ARMCOMPOSER,4/4/2019,1|1,Won
ARMCOMPOSER,4/4/2019,1|1,Lost
ARMCOMPOSER,4/2/2019,1|1,Won
ARMCOMPOSER,4/2/2019,1|1,Won
ARMCOMPOSER,4/2/2019,1|1,Won
ARMCOMPOSER,4/2/2019,1|1,Won
ARMCOMPOSER,4/2/2019,1|1,Won
