player,date,time,result
ARMCOMPOSER,9/4/2018,1 min,Lost
ARMCOMPOSER,9/4/2018,1 min,Lost
ARMCOMPOSER,9/4/2018,1 min,Lost
ARMCOMPOSER,9/4/2018,1 min,Lost
ARMCOMPOSER,9/4/2018,1 min,Lost
ARMCOMPOSER,9/4/2018,1 min,Lost
ARMCOMPOSER,9/1/2018,1 min,Won
ARMCOMPOSER,9/1/2018,1 min,Lost
ARMCOMPOSER,9/1/2018,1 min,Lost
ARMCOMPOSER,9/1/2018,1 min,Won
ARMCOMPOSER,9/1/2018,1 min,Won
ARMCOMPOSER,9/1/2018,1 min,Won
ARMCOMPOSER,9/1/2018,1 min,Won
ARMCOMPOSER,8/31/2018,1 min,Lost
ARMCOMPOSER,8/31/2018,1 min,Lost
ARMCOMPOSER,8/31/2018,1 min,Won
ARMCOMPOSER,8/31/2018,1 min,Lost
ARMCOMPOSER,8/31/2018,1 min,Won
ARMCOMPOSER,8/31/2018,1 min,Lost
ARMCOMPOSER,8/31/2018,1 min,Won
ARMCOMPOSER,8/31/2018,1 min,Lost
ARMCOMPOSER,8/31/2018,1 min,Lost
ARMCOMPOSER,8/31/2018,1 min,Won
ARMCOMPOSER,8/31/2018,1 min,Won
ARMCOMPOSER,8/31/2018,1 min,Won
ARMCOMPOSER,8/31/2018,1 min,Lost
ARMCOMPOSER,8/31/2018,1 min,Won
ARMCOMPOSER,8/31/2018,1 min,Draw
ARMCOMPOSER,8/31/2018,1 min,Won
ARMCOMPOSER,8/31/2018,1 min,Lost
ARMCOMPOSER,8/31/2018,1 min,Won
ARMCOMPOSER,8/31/2018,1 min,Won
ARMCOMPOSER,8/31/2018,1 min,Won
ARMCOMPOSER,8/31/2018,1 min,Draw
ARMCOMPOSER,8/31/2018,1 min,Draw
ARMCOMPOSER,8/31/2018,1 min,Lost
ARMCOMPOSER,8/31/2018,1 min,Won
ARMCOMPOSER,8/31/2018,1 min,Won
ARMCOMPOSER,8/31/2018,1 min,Lost
ARMCOMPOSER,8/31/2018,1 min,Lost
ARMCOMPOSER,8/31/2018,1 min,Won
ARMCOMPOSER,8/31/2018,1 min,Lost
ARMCOMPOSER,8/31/2018,1 min,Won
ARMCOMPOSER,8/31/2018,1 min,Lost
ARMCOMPOSER,8/31/2018,1 min,Lost
ARMCOMPOSER,8/31/2018,1 min,Won
ARMCOMPOSER,8/31/2018,1 min,Lost
ARMCOMPOSER,8/31/2018,1 min,Lost
ARMCOMPOSER,8/31/2018,1 min,Won
ARMCOMPOSER,8/31/2018,1 min,Won
