player,date,time,result
Arabicfalcon,1/24/2019,1 min,Lost
Arabicfalcon,1/24/2019,1 min,Lost
Arabicfalcon,1/24/2019,1 min,Won
Arabicfalcon,1/24/2019,1 min,Won
Arabicfalcon,1/24/2019,1 min,Lost
Arabicfalcon,1/24/2019,1 min,Lost
Arabicfalcon,1/24/2019,1 min,Lost
Arabicfalcon,1/24/2019,1 min,Won
Arabicfalcon,1/24/2019,1 min,Won
Arabicfalcon,1/24/2019,1 min,Lost
Arabicfalcon,1/24/2019,1 min,Lost
Arabicfalcon,1/24/2019,1 min,Lost
Arabicfalcon,1/24/2019,1 min,Won
Arabicfalcon,1/24/2019,1 min,Lost
Arabicfalcon,1/24/2019,1 min,Lost
Arabicfalcon,1/20/2019,1 min,Won
Arabicfalcon,1/20/2019,1 min,Draw
Arabicfalcon,1/20/2019,1 min,Won
Arabicfalcon,1/20/2019,1 min,Won
Arabicfalcon,1/20/2019,1 min,Won
Arabicfalcon,1/20/2019,1 min,Won
Arabicfalcon,1/20/2019,1 min,Lost
Arabicfalcon,1/20/2019,1 min,Won
Arabicfalcon,1/20/2019,1 min,Won
Arabicfalcon,1/20/2019,1 min,Won
Arabicfalcon,1/20/2019,1 min,Draw
Arabicfalcon,1/20/2019,1 min,Lost
Arabicfalcon,1/20/2019,1 min,Draw
Arabicfalcon,1/20/2019,1 min,Lost
Arabicfalcon,1/20/2019,1 min,Won
Arabicfalcon,1/20/2019,1 min,Lost
Arabicfalcon,1/20/2019,1 min,Won
Arabicfalcon,1/20/2019,1 min,Won
Arabicfalcon,1/20/2019,1 min,Won
Arabicfalcon,1/20/2019,1 min,Won
Arabicfalcon,1/20/2019,1 min,Won
Arabicfalcon,1/20/2019,1 min,Won
Arabicfalcon,1/20/2019,1 min,Lost
Arabicfalcon,1/20/2019,1 min,Lost
Arabicfalcon,1/20/2019,1 min,Won
Arabicfalcon,1/20/2019,1 min,Draw
Arabicfalcon,1/20/2019,1 min,Won
Arabicfalcon,1/20/2019,1 min,Won
Arabicfalcon,1/20/2019,1 min,Won
Arabicfalcon,1/20/2019,1 min,Won
Arabicfalcon,1/20/2019,1 min,Won
Arabicfalcon,1/20/2019,1 min,Won
Arabicfalcon,1/20/2019,1 min,Won
Arabicfalcon,1/20/2019,1 min,Won
Arabicfalcon,1/20/2019,1 min,Won
