player,date,time,result
Artur0208,4/6/2019,1 min,Lost
Artur0208,4/5/2019,1 min,Lost
Artur0208,4/4/2019,1 min,Lost
Artur0208,4/3/2019,1 min,Won
Artur0208,4/3/2019,1 min,Won
Artur0208,4/3/2019,1 min,Lost
Artur0208,4/3/2019,1 min,Won
Artur0208,4/3/2019,1 min,Lost
Artur0208,4/3/2019,1 min,Won
Artur0208,4/3/2019,1 min,Won
Artur0208,4/3/2019,1 min,Won
Artur0208,4/3/2019,1 min,Lost
Artur0208,4/3/2019,1 min,Lost
Artur0208,4/1/2019,30 sec,Won
Artur0208,4/1/2019,30 sec,Won
Artur0208,3/26/2019,10 sec,Won
Artur0208,3/22/2019,1 min,Lost
Artur0208,3/22/2019,1 min,Lost
Artur0208,3/22/2019,1 min,Won
Artur0208,3/22/2019,1 min,Lost
Artur0208,3/22/2019,1 min,Won
Artur0208,3/22/2019,1 min,Draw
Artur0208,3/22/2019,1 min,Won
Artur0208,3/22/2019,1 min,Won
Artur0208,3/22/2019,1 min,Won
Artur0208,3/14/2019,10 sec|1,Lost
Artur0208,3/14/2019,1 min,Lost
Artur0208,3/14/2019,1 min,Won
Artur0208,3/14/2019,1 min,Won
Artur0208,3/14/2019,1 min,Won
Artur0208,3/12/2019,1 min,Lost
Artur0208,3/12/2019,1 min,Won
Artur0208,3/12/2019,1 min,Lost
Artur0208,3/11/2019,30 sec,Lost
Artur0208,3/6/2019,1 min,Lost
Artur0208,3/5/2019,30 sec,Lost
Artur0208,3/5/2019,30 sec,Lost
Artur0208,3/5/2019,30 sec,Won
Artur0208,3/5/2019,30 sec,Won
Artur0208,3/5/2019,30 sec,Won
Artur0208,3/5/2019,30 sec,Won
Artur0208,3/5/2019,1 min,Lost
Artur0208,3/5/2019,1 min,Draw
Artur0208,3/5/2019,1 min,Won
Artur0208,3/5/2019,1 min,Won
Artur0208,3/5/2019,1 min,Won
Artur0208,3/5/2019,1 min,Lost
Artur0208,3/5/2019,1 min,Won
Artur0208,3/5/2019,1 min,Draw
Artur0208,3/4/2019,1 min,Lost
