player,date,time,result
AverageRecord,4/3/2019,1 min,Won
AverageRecord,4/3/2019,1 min,Won
AverageRecord,4/3/2019,1 min,Won
AverageRecord,4/3/2019,1 min,Lost
AverageRecord,4/3/2019,1 min,Won
AverageRecord,4/3/2019,1 min,Lost
AverageRecord,4/3/2019,1 min,Won
AverageRecord,11/12/2014,1 min,Won
AverageRecord,11/12/2014,1 min,Won
AverageRecord,11/12/2014,1 min,Won
AverageRecord,11/12/2014,1 min,Lost
AverageRecord,11/12/2014,1 min,Lost
AverageRecord,11/12/2014,1 min,Won
AverageRecord,11/12/2014,1 min,Won
AverageRecord,11/12/2014,1 min,Won
AverageRecord,11/12/2014,1 min,Won
AverageRecord,11/12/2014,1 min,Won
AverageRecord,11/12/2014,1 min,Won
AverageRecord,11/12/2014,1 min,Won
AverageRecord,11/12/2014,1 min,Won
AverageRecord,11/12/2014,1 min,Won
AverageRecord,11/12/2014,1 min,Won
AverageRecord,11/12/2014,1 min,Won
AverageRecord,11/12/2014,1 min,Won
AverageRecord,11/12/2014,1 min,Won
AverageRecord,11/12/2014,1 min,Won
AverageRecord,11/12/2014,1 min,Lost
AverageRecord,11/12/2014,1 min,Won
AverageRecord,11/12/2014,1 min,Won
AverageRecord,11/12/2014,1 min,Won
AverageRecord,11/12/2014,1 min,Won
AverageRecord,11/12/2014,1 min,Won
AverageRecord,11/12/2014,1 min,Won
AverageRecord,11/12/2014,1 min,Won
AverageRecord,11/12/2014,1 min,Won
AverageRecord,11/12/2014,1 min,Lost
AverageRecord,11/12/2014,1 min,Won
AverageRecord,11/12/2014,1 min,Won
AverageRecord,11/12/2014,1 min,Won
AverageRecord,11/12/2014,1 min,Won
AverageRecord,11/12/2014,1 min,Won
AverageRecord,11/12/2014,1 min,Won
AverageRecord,11/12/2014,1 min,Won
AverageRecord,11/12/2014,1 min,Lost
AverageRecord,11/12/2014,1 min,Won
AverageRecord,11/12/2014,1 min,Won
AverageRecord,11/12/2014,1 min,Won
AverageRecord,11/12/2014,1 min,Won
AverageRecord,11/12/2014,1 min,Won
AverageRecord,11/12/2014,1 min,Won
