player,date,time,result
BahadirOzen,4/22/2017,1 min,Draw
BahadirOzen,4/22/2017,1 min,Won
BahadirOzen,4/22/2017,1 min,Won
BahadirOzen,4/22/2017,1 min,Won
BahadirOzen,4/22/2017,1 min,Won
BahadirOzen,4/22/2017,1 min,Lost
BahadirOzen,3/12/2017,1 min,Lost
BahadirOzen,3/12/2017,1 min,Won
BahadirOzen,3/12/2017,1 min,Won
BahadirOzen,3/12/2017,1 min,Won
BahadirOzen,3/12/2017,1 min,Won
BahadirOzen,3/12/2017,1 min,Lost
BahadirOzen,3/12/2017,1 min,Draw
BahadirOzen,3/12/2017,1 min,Won
BahadirOzen,3/12/2017,10 sec,Lost
BahadirOzen,3/12/2017,10 sec,Won
BahadirOzen,3/12/2017,10 sec,Lost
BahadirOzen,3/12/2017,10 sec,Won
BahadirOzen,3/12/2017,10 sec,Won
BahadirOzen,3/12/2017,10 sec,Won
BahadirOzen,3/12/2017,10 sec,Won
BahadirOzen,7/3/2016,2|1,Won
BahadirOzen,7/2/2016,1 min,Won
BahadirOzen,7/2/2016,1 min,Won
BahadirOzen,7/2/2016,1 min,Won
BahadirOzen,7/2/2016,1 min,Won
BahadirOzen,7/2/2016,1 min,Won
BahadirOzen,7/2/2016,1 min,Lost
BahadirOzen,7/2/2016,1 min,Lost
BahadirOzen,7/2/2016,1 min,Won
BahadirOzen,7/2/2016,1 min,Won
BahadirOzen,7/2/2016,1 min,Won
BahadirOzen,7/2/2016,1 min,Won
BahadirOzen,7/2/2016,1 min,Lost
BahadirOzen,7/2/2016,1 min,Lost
BahadirOzen,7/2/2016,1 min,Won
BahadirOzen,7/2/2016,1 min,Won
BahadirOzen,7/2/2016,1 min,Won
BahadirOzen,7/2/2016,1 min,Won
BahadirOzen,7/2/2016,1 min,Won
BahadirOzen,7/2/2016,1 min,Won
BahadirOzen,7/2/2016,1 min,Lost
BahadirOzen,7/2/2016,1 min,Won
BahadirOzen,7/2/2016,1 min,Won
BahadirOzen,7/2/2016,1 min,Won
BahadirOzen,7/2/2016,1 min,Won
BahadirOzen,7/2/2016,1 min,Won
BahadirOzen,7/2/2016,1 min,Lost
BahadirOzen,7/2/2016,1 min,Won
BahadirOzen,7/2/2016,1 min,Won
