player,date,time,result
Bigfish1995,7/12/2018,1|1,Won
Bigfish1995,7/12/2018,1|1,Won
Bigfish1995,7/12/2018,1|1,Lost
Bigfish1995,7/12/2018,1|1,Draw
Bigfish1995,7/12/2018,1|1,Draw
Bigfish1995,7/12/2018,1|1,Lost
Bigfish1995,7/12/2018,1|1,Draw
Bigfish1995,7/12/2018,1|1,Won
Bigfish1995,7/12/2018,1|1,Won
Bigfish1995,7/12/2018,1|1,Won
Bigfish1995,7/12/2018,1|1,Won
Bigfish1995,7/11/2018,1|1,Won
Bigfish1995,7/11/2018,1|1,Lost
Bigfish1995,7/11/2018,1|1,Won
Bigfish1995,7/11/2018,1|1,Won
Bigfish1995,7/11/2018,1|1,Won
Bigfish1995,7/11/2018,1|1,Won
Bigfish1995,7/11/2018,1|1,Won
Bigfish1995,7/11/2018,1|1,Lost
Bigfish1995,7/11/2018,1|1,Lost
Bigfish1995,7/11/2018,1|1,Won
Bigfish1995,7/11/2018,1|1,Won
Bigfish1995,7/11/2018,1|1,Draw
Bigfish1995,7/11/2018,1|1,Won
Bigfish1995,7/11/2018,1|1,Won
Bigfish1995,7/11/2018,1|1,Won
Bigfish1995,7/11/2018,1|1,Won
Bigfish1995,7/11/2018,1|1,Won
Bigfish1995,7/11/2018,1|1,Lost
Bigfish1995,7/11/2018,1|1,Lost
Bigfish1995,7/11/2018,1|1,Draw
Bigfish1995,7/11/2018,1|1,Lost
Bigfish1995,7/11/2018,1|1,Won
Bigfish1995,7/11/2018,30 sec,Won
Bigfish1995,7/11/2018,30 sec,Draw
Bigfish1995,7/11/2018,30 sec,Won
Bigfish1995,7/11/2018,30 sec,Won
Bigfish1995,7/11/2018,30 sec,Won
Bigfish1995,7/11/2018,30 sec,Lost
Bigfish1995,7/11/2018,30 sec,Won
Bigfish1995,7/11/2018,30 sec,Won
Bigfish1995,7/11/2018,30 sec,Won
Bigfish1995,7/11/2018,30 sec,Lost
Bigfish1995,7/11/2018,30 sec,Lost
Bigfish1995,7/11/2018,30 sec,Lost
Bigfish1995,7/11/2018,30 sec,Lost
Bigfish1995,7/11/2018,30 sec,Lost
Bigfish1995,7/11/2018,30 sec,Won
Bigfish1995,7/11/2018,30 sec,Lost
Bigfish1995,7/11/2018,30 sec,Lost
