player,date,time,result
Bigfish1995,2/6/2019,1|1,Won
Bigfish1995,2/6/2019,1|1,Won
Bigfish1995,2/6/2019,1|1,Won
Bigfish1995,2/6/2019,1|1,Lost
Bigfish1995,2/6/2019,1|1,Lost
Bigfish1995,2/6/2019,1|1,Lost
Bigfish1995,2/6/2019,1|1,Won
Bigfish1995,2/6/2019,1|1,Lost
Bigfish1995,9/20/2018,1|1,Won
Bigfish1995,9/20/2018,1|1,Won
Bigfish1995,9/20/2018,1|1,Won
Bigfish1995,9/20/2018,1|1,Lost
Bigfish1995,9/20/2018,1|1,Won
Bigfish1995,9/20/2018,1|1,Won
Bigfish1995,9/20/2018,1|1,Won
Bigfish1995,9/20/2018,1|1,Won
Bigfish1995,9/20/2018,1|1,Draw
Bigfish1995,9/20/2018,1|1,Draw
Bigfish1995,9/20/2018,1|1,Won
Bigfish1995,9/20/2018,1|1,Won
Bigfish1995,9/20/2018,1|1,Won
Bigfish1995,9/19/2018,1|1,Won
Bigfish1995,9/19/2018,1|1,Won
Bigfish1995,9/19/2018,1|1,Won
Bigfish1995,9/19/2018,1|1,Won
Bigfish1995,9/19/2018,1|1,Won
Bigfish1995,9/19/2018,1|1,Won
Bigfish1995,9/18/2018,1|1,Won
Bigfish1995,9/18/2018,1|1,Lost
Bigfish1995,9/18/2018,1|1,Draw
Bigfish1995,9/18/2018,1|1,Draw
Bigfish1995,9/18/2018,1|1,Won
Bigfish1995,9/18/2018,1|1,Lost
Bigfish1995,9/17/2018,1|1,Won
Bigfish1995,9/17/2018,1|1,Won
Bigfish1995,9/17/2018,1|1,Won
Bigfish1995,7/13/2018,1|1,Won
Bigfish1995,7/13/2018,1|1,Won
Bigfish1995,7/13/2018,1|1,Won
Bigfish1995,7/13/2018,1|1,Won
Bigfish1995,7/13/2018,1|1,Won
Bigfish1995,7/13/2018,1|1,Won
Bigfish1995,7/13/2018,1|1,Won
Bigfish1995,7/13/2018,1|1,Won
Bigfish1995,7/13/2018,1|1,Draw
Bigfish1995,7/13/2018,1|1,Won
Bigfish1995,7/13/2018,1|1,Draw
Bigfish1995,7/13/2018,1|1,Lost
Bigfish1995,7/13/2018,1|1,Draw
Bigfish1995,7/13/2018,1|1,Won
