player,date,time,result
DanielNaroditsky,4/5/2019,1 min,Won
DanielNaroditsky,4/5/2019,1 min,Lost
DanielNaroditsky,4/5/2019,1 min,Won
DanielNaroditsky,4/5/2019,1 min,Won
DanielNaroditsky,4/5/2019,1 min,Won
DanielNaroditsky,4/5/2019,1 min,Won
DanielNaroditsky,4/5/2019,1 min,Won
DanielNaroditsky,4/5/2019,1 min,Draw
DanielNaroditsky,4/5/2019,1 min,Draw
DanielNaroditsky,4/5/2019,1 min,Won
DanielNaroditsky,4/5/2019,1 min,Won
DanielNaroditsky,4/5/2019,1 min,Lost
DanielNaroditsky,4/5/2019,1 min,Lost
DanielNaroditsky,4/5/2019,1 min,Lost
DanielNaroditsky,4/5/2019,1 min,Won
DanielNaroditsky,4/5/2019,1 min,Draw
DanielNaroditsky,4/5/2019,1 min,Lost
DanielNaroditsky,4/5/2019,1 min,Lost
DanielNaroditsky,4/5/2019,1 min,Won
DanielNaroditsky,4/5/2019,1 min,Lost
DanielNaroditsky,4/5/2019,1 min,Lost
DanielNaroditsky,4/4/2019,1 min,Won
DanielNaroditsky,4/4/2019,1 min,Lost
DanielNaroditsky,4/4/2019,1 min,Won
DanielNaroditsky,4/4/2019,1 min,Won
DanielNaroditsky,4/4/2019,1 min,Won
DanielNaroditsky,4/4/2019,1 min,Won
DanielNaroditsky,4/4/2019,1 min,Lost
DanielNaroditsky,4/4/2019,1 min,Lost
DanielNaroditsky,4/4/2019,1 min,Won
DanielNaroditsky,4/4/2019,1 min,Won
DanielNaroditsky,4/4/2019,1 min,Draw
DanielNaroditsky,4/4/2019,1 min,Draw
DanielNaroditsky,4/4/2019,1 min,Draw
DanielNaroditsky,4/4/2019,1 min,Won
DanielNaroditsky,4/4/2019,1 min,Lost
DanielNaroditsky,4/4/2019,1 min,Won
DanielNaroditsky,4/4/2019,1 min,Won
DanielNaroditsky,4/4/2019,1 min,Won
DanielNaroditsky,4/4/2019,1 min,Won
DanielNaroditsky,4/4/2019,1 min,Won
DanielNaroditsky,4/4/2019,1 min,Won
DanielNaroditsky,4/4/2019,1 min,Lost
DanielNaroditsky,4/4/2019,1 min,Won
DanielNaroditsky,4/4/2019,1 min,Won
DanielNaroditsky,4/4/2019,1 min,Draw
DanielNaroditsky,4/4/2019,30 sec,Won
DanielNaroditsky,4/4/2019,30 sec,Lost
DanielNaroditsky,4/4/2019,30 sec,Lost
DanielNaroditsky,4/4/2019,30 sec,Lost
