player,date,time,result
Duhless,10/12/2018,30 sec,Lost
Duhless,10/12/2018,30 sec,Draw
Duhless,9/27/2018,1 min,Lost
Duhless,9/27/2018,1 min,Lost
Duhless,9/23/2018,10 sec,Lost
Duhless,9/23/2018,10 sec,Lost
Duhless,9/23/2018,10 sec,Won
Duhless,9/22/2018,1 min,Won
Duhless,9/22/2018,1 min,Won
Duhless,9/22/2018,1 min,Lost
Duhless,9/22/2018,1 min,Draw
Duhless,9/22/2018,1 min,Won
Duhless,9/22/2018,1 min,Won
Duhless,9/22/2018,1 min,Won
Duhless,9/20/2018,1 min,Lost
Duhless,9/20/2018,1 min,Lost
Duhless,9/20/2018,1 min,Lost
Duhless,9/20/2018,1 min,Lost
Duhless,9/20/2018,1 min,Won
Duhless,8/12/2018,1 min,Won
Duhless,8/8/2018,1 min,Won
Duhless,8/4/2018,1 min,Won
Duhless,8/4/2018,1 min,Lost
Duhless,8/4/2018,1 min,Won
Duhless,8/4/2018,1 min,Won
Duhless,8/4/2018,1 min,Won
Duhless,8/4/2018,1 min,Won
Duhless,8/4/2018,1 min,Won
Duhless,8/4/2018,1 min,Lost
Duhless,8/4/2018,1 min,Won
Duhless,8/4/2018,1 min,Draw
Duhless,8/4/2018,1 min,Won
Duhless,8/4/2018,1 min,Won
Duhless,8/4/2018,30 sec,Won
Duhless,8/4/2018,30 sec,Lost
Duhless,8/4/2018,30 sec,Lost
Duhless,8/4/2018,30 sec,Lost
Duhless,8/4/2018,30 sec,Lost
Duhless,8/4/2018,30 sec,Lost
Duhless,8/4/2018,30 sec,Lost
Duhless,8/4/2018,30 sec,Won
Duhless,8/4/2018,30 sec,Lost
Duhless,8/4/2018,1|1,Won
Duhless,8/4/2018,1|1,Won
Duhless,8/4/2018,1|1,Lost
Duhless,8/4/2018,1|1,Lost
Duhless,8/4/2018,1|1,Won
Duhless,8/4/2018,1|1,Won
Duhless,8/4/2018,1|1,Lost
Duhless,8/4/2018,1|1,Draw
