player,date,time,result
Firouzja2003,4/7/2019,1 min,Won
Firouzja2003,4/7/2019,1 min,Draw
Firouzja2003,4/7/2019,1 min,Draw
Firouzja2003,4/7/2019,1 min,Draw
Firouzja2003,4/7/2019,1 min,Lost
Firouzja2003,4/7/2019,1 min,Lost
Firouzja2003,4/7/2019,30 sec,Lost
Firouzja2003,4/7/2019,30 sec,Lost
Firouzja2003,4/7/2019,30 sec,Won
Firouzja2003,4/7/2019,30 sec,Lost
Firouzja2003,4/7/2019,30 sec,Won
Firouzja2003,4/7/2019,30 sec,Lost
Firouzja2003,4/7/2019,30 sec,Lost
Firouzja2003,4/7/2019,30 sec,Lost
Firouzja2003,4/7/2019,30 sec,Draw
Firouzja2003,4/7/2019,30 sec,Won
Firouzja2003,4/7/2019,30 sec,Lost
Firouzja2003,4/7/2019,30 sec,Lost
Firouzja2003,4/7/2019,30 sec,Won
Firouzja2003,4/7/2019,30 sec,Lost
Firouzja2003,4/7/2019,30 sec,Lost
Firouzja2003,4/7/2019,30 sec,Won
Firouzja2003,4/7/2019,30 sec,Won
Firouzja2003,4/7/2019,30 sec,Lost
Firouzja2003,4/7/2019,30 sec,Won
Firouzja2003,4/7/2019,30 sec,Lost
Firouzja2003,4/7/2019,30 sec,Lost
Firouzja2003,4/7/2019,30 sec,Won
Firouzja2003,4/7/2019,1 min,Lost
Firouzja2003,4/6/2019,30 sec,Lost
Firouzja2003,4/6/2019,30 sec,Won
Firouzja2003,4/6/2019,30 sec,Won
Firouzja2003,4/6/2019,30 sec,Won
Firouzja2003,4/6/2019,30 sec,Won
Firouzja2003,4/6/2019,30 sec,Won
Firouzja2003,4/6/2019,30 sec,Won
Firouzja2003,4/6/2019,30 sec,Won
Firouzja2003,4/6/2019,30 sec,Lost
Firouzja2003,4/6/2019,30 sec,Won
Firouzja2003,4/6/2019,30 sec,Lost
Firouzja2003,4/6/2019,30 sec,Lost
Firouzja2003,4/6/2019,30 sec,Won
Firouzja2003,4/6/2019,30 sec,Won
Firouzja2003,4/6/2019,30 sec,Won
Firouzja2003,4/6/2019,30 sec,Won
Firouzja2003,4/6/2019,30 sec,Lost
Firouzja2003,4/6/2019,30 sec,Won
Firouzja2003,4/6/2019,30 sec,Won
Firouzja2003,4/6/2019,30 sec,Won
Firouzja2003,4/6/2019,30 sec,Won
