player,date,time,result
Firouzja2003,3/21/2019,10 sec|1,Won
Firouzja2003,3/21/2019,10 sec|1,Won
Firouzja2003,3/21/2019,10 sec|1,Won
Firouzja2003,3/21/2019,10 sec|1,Lost
Firouzja2003,3/21/2019,10 sec|1,Won
Firouzja2003,3/21/2019,10 sec|1,Lost
Firouzja2003,3/21/2019,10 sec|1,Won
Firouzja2003,3/21/2019,10 sec|1,Won
Firouzja2003,3/21/2019,10 sec|1,Draw
Firouzja2003,3/21/2019,10 sec|1,Won
Firouzja2003,3/21/2019,10 sec|1,Won
Firouzja2003,3/21/2019,10 sec|1,Lost
Firouzja2003,3/21/2019,10 sec|1,Lost
Firouzja2003,3/21/2019,10 sec|1,Lost
Firouzja2003,3/21/2019,10 sec|1,Lost
Firouzja2003,3/21/2019,10 sec|1,Won
Firouzja2003,3/21/2019,10 sec|1,Lost
Firouzja2003,3/21/2019,10 sec|1,Draw
Firouzja2003,3/21/2019,10 sec|1,Won
Firouzja2003,3/21/2019,10 sec|1,Draw
Firouzja2003,3/21/2019,10 sec|1,Lost
Firouzja2003,3/21/2019,10 sec|1,Won
Firouzja2003,3/21/2019,10 sec|1,Won
Firouzja2003,3/21/2019,10 sec|1,Won
Firouzja2003,3/21/2019,10 sec|1,Won
Firouzja2003,3/21/2019,10 sec|1,Won
Firouzja2003,3/21/2019,10 sec|1,Won
Firouzja2003,3/21/2019,10 sec|1,Lost
Firouzja2003,3/21/2019,10 sec|1,Lost
Firouzja2003,3/21/2019,10 sec|1,Draw
Firouzja2003,3/21/2019,10 sec|1,Won
Firouzja2003,3/21/2019,10 sec|1,Draw
Firouzja2003,3/21/2019,10 sec|1,Won
Firouzja2003,3/21/2019,10 sec|1,Won
Firouzja2003,3/21/2019,10 sec|1,Won
Firouzja2003,3/21/2019,10 sec|1,Lost
Firouzja2003,3/21/2019,10 sec|1,Lost
Firouzja2003,3/21/2019,10 sec|1,Won
Firouzja2003,3/20/2019,10 sec|1,Won
Firouzja2003,3/20/2019,10 sec|1,Won
Firouzja2003,3/20/2019,10 sec|1,Won
Firouzja2003,3/20/2019,10 sec|1,Lost
Firouzja2003,3/20/2019,10 sec|1,Won
Firouzja2003,3/20/2019,10 sec|1,Won
Firouzja2003,3/20/2019,10 sec|1,Lost
Firouzja2003,3/20/2019,10 sec|1,Lost
Firouzja2003,3/20/2019,10 sec|1,Lost
Firouzja2003,3/20/2019,10 sec|1,Lost
Firouzja2003,3/20/2019,10 sec|1,Won
Firouzja2003,3/20/2019,10 sec|1,Draw
