player,date,time,result
Genghis_K,4/4/2019,1 min,Lost
Genghis_K,4/4/2019,1 min,Won
Genghis_K,4/4/2019,1 min,Won
Genghis_K,4/4/2019,1 min,Won
Genghis_K,4/4/2019,1 min,Won
Genghis_K,4/4/2019,1 min,Won
Genghis_K,4/4/2019,1 min,Won
Genghis_K,4/4/2019,1 min,Won
Genghis_K,4/4/2019,1 min,Won
Genghis_K,4/4/2019,1 min,Won
Genghis_K,4/4/2019,1 min,Won
Genghis_K,4/4/2019,1 min,Draw
Genghis_K,4/4/2019,1 min,Won
Genghis_K,4/3/2019,1 min,Won
Genghis_K,4/3/2019,1 min,Draw
Genghis_K,4/3/2019,1 min,Won
Genghis_K,4/3/2019,1 min,Lost
Genghis_K,4/3/2019,1 min,Lost
Genghis_K,4/3/2019,1 min,Won
Genghis_K,4/3/2019,1 min,Lost
Genghis_K,4/3/2019,1 min,Won
Genghis_K,4/3/2019,1 min,Won
Genghis_K,4/3/2019,1 min,Won
Genghis_K,4/3/2019,1 min,Lost
Genghis_K,4/3/2019,1 min,Lost
Genghis_K,4/3/2019,1 min,Won
Genghis_K,4/3/2019,1 min,Won
Genghis_K,4/3/2019,1 min,Won
Genghis_K,4/3/2019,1 min,Lost
Genghis_K,4/3/2019,1 min,Won
Genghis_K,4/3/2019,1 min,Lost
Genghis_K,4/3/2019,1 min,Lost
Genghis_K,4/3/2019,1 min,Draw
Genghis_K,4/3/2019,1 min,Won
Genghis_K,4/3/2019,1 min,Won
Genghis_K,4/3/2019,1 min,Draw
Genghis_K,4/3/2019,1 min,Won
Genghis_K,4/3/2019,1 min,Won
Genghis_K,4/1/2019,1 min,Lost
Genghis_K,4/1/2019,1 min,Lost
Genghis_K,3/14/2019,30 sec,Won
Genghis_K,3/14/2019,30 sec,Won
Genghis_K,3/14/2019,30 sec,Won
Genghis_K,3/14/2019,30 sec,Lost
Genghis_K,3/14/2019,30 sec,Won
Genghis_K,3/14/2019,30 sec,Won
Genghis_K,3/9/2019,1 min,Won
Genghis_K,3/9/2019,1 min,Won
Genghis_K,3/9/2019,1 min,Won
Genghis_K,3/9/2019,1 min,Lost
