player,date,time,result
Grischuk,7/8/2018,1 min,Lost
Grischuk,7/8/2018,1 min,Won
Grischuk,7/8/2018,1 min,Won
Grischuk,7/8/2018,1 min,Lost
Grischuk,7/8/2018,1 min,Won
Grischuk,7/8/2018,1 min,Lost
Grischuk,7/8/2018,1 min,Won
Grischuk,7/8/2018,1 min,Lost
Grischuk,7/8/2018,1 min,Lost
Grischuk,7/8/2018,1 min,Won
Grischuk,7/8/2018,1 min,Lost
Grischuk,7/8/2018,1 min,Lost
Grischuk,7/8/2018,1 min,Won
Grischuk,7/8/2018,1 min,Draw
Grischuk,7/2/2018,1 min,Won
Grischuk,6/7/2018,1 min,Won
Grischuk,6/7/2018,1 min,Draw
Grischuk,6/7/2018,1 min,Lost
Grischuk,6/7/2018,1 min,Won
Grischuk,6/4/2018,1 min,Won
Grischuk,6/4/2018,1 min,Lost
Grischuk,6/4/2018,1 min,Won
Grischuk,6/4/2018,1 min,Won
Grischuk,6/4/2018,1 min,Lost
Grischuk,6/4/2018,1 min,Lost
Grischuk,6/4/2018,1 min,Draw
Grischuk,6/4/2018,1 min,Won
Grischuk,6/4/2018,1 min,Lost
Grischuk,6/4/2018,1 min,Draw
Grischuk,6/4/2018,1 min,Lost
Grischuk,6/4/2018,1 min,Won
Grischuk,5/5/2018,1 min,Won
Grischuk,5/5/2018,1 min,Draw
Grischuk,5/5/2018,1 min,Lost
Grischuk,5/5/2018,1 min,Won
Grischuk,5/5/2018,1 min,Won
Grischuk,5/4/2018,1 min,Won
Grischuk,5/4/2018,1 min,Won
Grischuk,5/4/2018,1 min,Won
Grischuk,5/4/2018,1 min,Lost
Grischuk,5/4/2018,1 min,Won
Grischuk,5/4/2018,1 min,Won
Grischuk,5/4/2018,1 min,Won
Grischuk,5/4/2018,1 min,Draw
Grischuk,4/28/2018,1 min,Won
Grischuk,4/28/2018,1 min,Won
Grischuk,4/28/2018,1 min,Lost
Grischuk,4/28/2018,1 min,Won
Grischuk,4/28/2018,1 min,Won
Grischuk,4/28/2018,1 min,Won
