player,date,time,result
Hikaru,4/6/2019,1 min,Won
Hikaru,4/6/2019,1 min,Draw
Hikaru,4/6/2019,1 min,Won
Hikaru,4/6/2019,1 min,Won
Hikaru,4/6/2019,1 min,Won
Hikaru,4/6/2019,1 min,Won
Hikaru,4/6/2019,1 min,Won
Hikaru,4/6/2019,1 min,Won
Hikaru,4/6/2019,1 min,Lost
Hikaru,4/6/2019,1 min,Won
Hikaru,4/6/2019,1 min,Won
Hikaru,4/6/2019,1 min,Won
Hikaru,4/6/2019,1 min,Won
Hikaru,4/6/2019,1 min,Won
Hikaru,4/6/2019,1 min,Won
Hikaru,4/6/2019,1 min,Won
Hikaru,4/6/2019,1 min,Lost
Hikaru,4/6/2019,1 min,Won
Hikaru,4/6/2019,1 min,Won
Hikaru,4/6/2019,1 min,Draw
Hikaru,4/6/2019,1 min,Won
Hikaru,4/6/2019,1 min,Won
Hikaru,4/6/2019,1 min,Won
Hikaru,4/6/2019,1 min,Won
Hikaru,4/6/2019,1 min,Lost
Hikaru,4/6/2019,1 min,Lost
Hikaru,4/6/2019,1 min,Draw
Hikaru,4/6/2019,1 min,Lost
Hikaru,4/6/2019,1 min,Draw
Hikaru,4/6/2019,1 min,Won
Hikaru,4/6/2019,1 min,Lost
Hikaru,4/6/2019,1 min,Won
Hikaru,4/6/2019,1 min,Lost
Hikaru,4/6/2019,1 min,Won
Hikaru,4/6/2019,1 min,Draw
Hikaru,4/6/2019,1 min,Won
Hikaru,4/6/2019,1 min,Lost
Hikaru,4/6/2019,1 min,Lost
Hikaru,4/6/2019,1 min,Lost
Hikaru,4/6/2019,1 min,Won
Hikaru,4/6/2019,1 min,Draw
Hikaru,4/6/2019,1 min,Won
Hikaru,4/6/2019,1 min,Lost
Hikaru,4/6/2019,1 min,Won
Hikaru,4/6/2019,1 min,Won
Hikaru,3/28/2019,1 min,Won
Hikaru,3/28/2019,1 min,Won
Hikaru,3/28/2019,1 min,Draw
Hikaru,3/28/2019,1 min,Won
Hikaru,3/28/2019,1 min,Lost
