player,date,time,result
Illingworth,1/30/2018,1 min,Won
Illingworth,1/30/2018,1 min,Draw
Illingworth,1/30/2018,1 min,Won
Illingworth,1/30/2018,1 min,Won
Illingworth,1/30/2018,1 min,Lost
Illingworth,1/30/2018,1 min,Won
Illingworth,1/30/2018,1 min,Won
Illingworth,1/30/2018,1 min,Won
Illingworth,1/30/2018,1 min,Won
Illingworth,1/30/2018,1 min,Won
Illingworth,1/30/2018,1 min,Lost
Illingworth,1/30/2018,1 min,Won
Illingworth,1/30/2018,1 min,Won
Illingworth,1/30/2018,1 min,Lost
Illingworth,1/30/2018,1 min,Won
Illingworth,1/30/2018,1 min,Won
Illingworth,1/30/2018,1 min,Won
Illingworth,1/30/2018,1 min,Won
Illingworth,1/30/2018,1 min,Won
Illingworth,1/30/2018,1 min,Won
Illingworth,1/30/2018,1 min,Won
Illingworth,1/30/2018,1 min,Won
Illingworth,1/30/2018,1 min,Won
Illingworth,1/30/2018,1 min,Lost
Illingworth,1/30/2018,1 min,Won
Illingworth,1/30/2018,1 min,Won
Illingworth,12/19/2017,1 min,Draw
Illingworth,12/19/2017,1 min,Won
Illingworth,12/19/2017,1 min,Won
Illingworth,12/19/2017,1 min,Won
Illingworth,7/7/2017,1 min,Lost
Illingworth,7/7/2017,1 min,Won
Illingworth,7/7/2017,1 min,Won
Illingworth,7/7/2017,1 min,Won
Illingworth,6/18/2017,1 min,Lost
Illingworth,6/18/2017,1 min,Won
Illingworth,6/18/2017,1 min,Won
Illingworth,6/18/2017,1 min,Won
Illingworth,6/18/2017,1 min,Won
Illingworth,6/18/2017,1 min,Won
Illingworth,6/18/2017,1 min,Won
Illingworth,6/17/2017,1 min,Won
Illingworth,6/17/2017,1 min,Won
Illingworth,6/17/2017,1 min,Won
Illingworth,6/17/2017,1 min,Won
Illingworth,6/17/2017,1 min,Won
Illingworth,6/17/2017,1 min,Won
Illingworth,6/17/2017,1 min,Won
Illingworth,6/17/2017,1 min,Won
Illingworth,6/15/2017,1 min,Lost
