player,date,time,result
Jospem,4/3/2019,1 min,Won
Jospem,4/3/2019,1 min,Won
Jospem,4/3/2019,1 min,Won
Jospem,4/3/2019,1 min,Won
Jospem,4/3/2019,1 min,Won
Jospem,4/3/2019,1 min,Won
Jospem,4/3/2019,1 min,Won
Jospem,4/3/2019,1 min,Lost
Jospem,4/3/2019,1 min,Lost
Jospem,4/3/2019,1 min,Lost
Jospem,4/3/2019,1 min,Won
Jospem,4/3/2019,1 min,Won
Jospem,4/3/2019,1 min,Won
Jospem,4/3/2019,1 min,Lost
Jospem,4/3/2019,1 min,Lost
Jospem,4/3/2019,1 min,Won
Jospem,4/3/2019,1 min,Won
Jospem,4/3/2019,1 min,Won
Jospem,4/3/2019,1 min,Won
Jospem,4/3/2019,1 min,Won
Jospem,4/3/2019,1 min,Won
Jospem,4/3/2019,1 min,Won
Jospem,4/3/2019,1 min,Lost
Jospem,4/3/2019,1 min,Won
Jospem,4/3/2019,1 min,Lost
Jospem,4/3/2019,1 min,Won
Jospem,4/3/2019,1 min,Lost
Jospem,4/3/2019,1 min,Lost
Jospem,4/3/2019,1 min,Lost
Jospem,4/3/2019,1 min,Won
Jospem,4/3/2019,1 min,Lost
Jospem,4/3/2019,1 min,Lost
Jospem,4/2/2019,1 min,Draw
Jospem,4/2/2019,1 min,Won
Jospem,4/2/2019,1 min,Lost
Jospem,4/2/2019,1 min,Lost
Jospem,4/2/2019,1 min,Lost
Jospem,4/2/2019,1 min,Lost
Jospem,4/2/2019,1 min,Won
Jospem,4/2/2019,1 min,Won
Jospem,4/1/2019,1 min,Lost
Jospem,4/1/2019,1 min,Won
Jospem,4/1/2019,1 min,Won
Jospem,4/1/2019,1 min,Draw
Jospem,3/28/2019,1 min,Won
Jospem,3/28/2019,1 min,Won
Jospem,3/28/2019,1 min,Won
Jospem,3/28/2019,1 min,Won
Jospem,3/28/2019,1 min,Lost
Jospem,3/28/2019,1 min,Lost
