player,date,time,result
LOVEVAE,7/23/2018,1 min,Won
LOVEVAE,7/23/2018,1 min,Won
LOVEVAE,7/23/2018,1 min,Won
LOVEVAE,7/23/2018,1 min,Lost
LOVEVAE,7/23/2018,1 min,Won
LOVEVAE,7/23/2018,1 min,Lost
LOVEVAE,7/23/2018,1 min,Won
LOVEVAE,7/23/2018,1 min,Won
LOVEVAE,7/23/2018,1 min,Draw
LOVEVAE,7/23/2018,1 min,Won
LOVEVAE,7/23/2018,1 min,Won
LOVEVAE,7/23/2018,1 min,Won
LOVEVAE,7/23/2018,1 min,Draw
LOVEVAE,7/23/2018,1 min,Won
LOVEVAE,7/23/2018,1 min,Lost
LOVEVAE,7/23/2018,1 min,Lost
LOVEVAE,7/23/2018,1 min,Won
LOVEVAE,7/23/2018,1 min,Won
LOVEVAE,7/23/2018,1 min,Won
LOVEVAE,7/23/2018,1 min,Draw
LOVEVAE,7/23/2018,1 min,Lost
LOVEVAE,7/23/2018,1 min,Lost
LOVEVAE,7/23/2018,1 min,Lost
LOVEVAE,7/23/2018,1 min,Won
LOVEVAE,7/23/2018,1 min,Won
LOVEVAE,7/23/2018,1 min,Won
LOVEVAE,7/23/2018,1 min,Won
LOVEVAE,7/23/2018,1 min,Lost
LOVEVAE,7/23/2018,1 min,Lost
LOVEVAE,7/23/2018,1 min,Won
LOVEVAE,7/23/2018,1 min,Lost
LOVEVAE,7/23/2018,1 min,Won
LOVEVAE,7/23/2018,1 min,Won
LOVEVAE,7/23/2018,1 min,Draw
LOVEVAE,7/23/2018,1 min,Lost
LOVEVAE,7/23/2018,1 min,Won
LOVEVAE,7/23/2018,1 min,Lost
LOVEVAE,7/23/2018,1 min,Lost
LOVEVAE,7/23/2018,1 min,Lost
LOVEVAE,7/23/2018,1 min,Lost
LOVEVAE,7/23/2018,1 min,Lost
LOVEVAE,7/23/2018,1 min,Won
LOVEVAE,7/23/2018,1 min,Won
LOVEVAE,7/23/2018,1 min,Lost
LOVEVAE,7/23/2018,1 min,Won
LOVEVAE,7/23/2018,1 min,Won
LOVEVAE,7/22/2018,1 min,Won
LOVEVAE,7/22/2018,1 min,Won
LOVEVAE,7/22/2018,1 min,Won
LOVEVAE,7/22/2018,1 min,Lost
