player,date,time,result
Lordillidan,2/9/2019,1 min,Won
Lordillidan,2/9/2019,1 min,Lost
Lordillidan,2/9/2019,1 min,Lost
Lordillidan,2/9/2019,1 min,Won
Lordillidan,2/9/2019,1 min,Lost
Lordillidan,2/9/2019,1 min,Draw
Lordillidan,2/9/2019,1 min,Lost
Lordillidan,2/9/2019,1 min,Lost
Lordillidan,2/9/2019,1 min,Won
Lordillidan,2/9/2019,1 min,Won
Lordillidan,2/9/2019,1 min,Won
Lordillidan,2/8/2019,1 min,Lost
Lordillidan,2/8/2019,1 min,Lost
Lordillidan,2/8/2019,1 min,Draw
Lordillidan,2/8/2019,1 min,Lost
Lordillidan,2/8/2019,1 min,Lost
Lordillidan,2/8/2019,1 min,Lost
Lordillidan,2/8/2019,1 min,Lost
Lordillidan,2/8/2019,1 min,Lost
Lordillidan,2/8/2019,1 min,Lost
Lordillidan,2/8/2019,1 min,Lost
Lordillidan,2/8/2019,1 min,Won
Lordillidan,2/5/2019,1 min,Lost
Lordillidan,2/5/2019,1 min,Lost
Lordillidan,2/5/2019,1 min,Draw
Lordillidan,2/5/2019,1 min,Won
Lordillidan,1/31/2019,1 min,Lost
Lordillidan,1/31/2019,1 min,Won
Lordillidan,1/31/2019,1 min,Won
Lordillidan,1/31/2019,1 min,Lost
Lordillidan,1/6/2019,1 min,Lost
Lordillidan,1/6/2019,1 min,Won
Lordillidan,1/6/2019,1 min,Lost
Lordillidan,1/6/2019,1 min,Won
Lordillidan,1/6/2019,1 min,Lost
Lordillidan,1/6/2019,1 min,Lost
Lordillidan,1/6/2019,1 min,Won
Lordillidan,1/6/2019,1 min,Lost
Lordillidan,1/6/2019,1 min,Won
Lordillidan,1/6/2019,1 min,Won
Lordillidan,1/6/2019,1 min,Lost
Lordillidan,1/6/2019,1 min,Lost
Lordillidan,1/6/2019,1 min,Won
Lordillidan,1/6/2019,1 min,Lost
Lordillidan,1/6/2019,1 min,Lost
Lordillidan,1/6/2019,1 min,Won
Lordillidan,1/6/2019,1 min,Lost
Lordillidan,1/6/2019,1 min,Won
Lordillidan,1/6/2019,1 min,Lost
Lordillidan,1/6/2019,1 min,Lost
