player,date,time,result
Micki-taryan,4/8/2019,1 min,Won
Micki-taryan,4/8/2019,1 min,Won
Micki-taryan,4/8/2019,1 min,Won
Micki-taryan,4/8/2019,1 min,Draw
Micki-taryan,4/8/2019,1 min,Won
Micki-taryan,4/8/2019,1 min,Won
Micki-taryan,4/8/2019,1 min,Won
Micki-taryan,4/8/2019,1 min,Lost
Micki-taryan,4/8/2019,1 min,Won
Micki-taryan,4/8/2019,1 min,Won
Micki-taryan,4/8/2019,1 min,Draw
Micki-taryan,4/8/2019,1 min,Won
Micki-taryan,4/8/2019,1 min,Won
Micki-taryan,4/8/2019,1 min,Lost
Micki-taryan,4/8/2019,1 min,Won
Micki-taryan,4/8/2019,1 min,Won
Micki-taryan,4/8/2019,1 min,Won
Micki-taryan,4/8/2019,1 min,Lost
Micki-taryan,4/8/2019,1 min,Won
Micki-taryan,4/8/2019,1 min,Won
Micki-taryan,4/8/2019,1 min,Lost
Micki-taryan,4/8/2019,1 min,Won
Micki-taryan,4/8/2019,1 min,Lost
Micki-taryan,4/8/2019,1 min,Lost
Micki-taryan,4/8/2019,1 min,Won
Micki-taryan,4/8/2019,1 min,Won
Micki-taryan,4/8/2019,1 min,Lost
Micki-taryan,4/8/2019,1 min,Lost
Micki-taryan,4/8/2019,1 min,Won
Micki-taryan,4/8/2019,1 min,Lost
Micki-taryan,4/8/2019,1 min,Draw
Micki-taryan,4/8/2019,1 min,Lost
Micki-taryan,4/8/2019,1 min,Lost
Micki-taryan,4/8/2019,1 min,Lost
Micki-taryan,4/8/2019,1 min,Lost
Micki-taryan,4/8/2019,1 min,Won
Micki-taryan,4/8/2019,1 min,Lost
Micki-taryan,4/8/2019,1 min,Won
Micki-taryan,4/8/2019,1 min,Lost
Micki-taryan,4/8/2019,1 min,Lost
Micki-taryan,4/8/2019,1 min,Won
Micki-taryan,4/8/2019,1 min,Won
Micki-taryan,4/8/2019,1 min,Won
Micki-taryan,4/8/2019,1 min,Won
Micki-taryan,4/8/2019,1 min,Won
Micki-taryan,4/8/2019,1 min,Won
Micki-taryan,4/8/2019,1 min,Lost
Micki-taryan,4/8/2019,1 min,Lost
Micki-taryan,4/8/2019,1 min,Won
Micki-taryan,4/8/2019,1 min,Draw
