player,date,time,result
Msb2,3/9/2019,1 min,Draw
Msb2,3/9/2019,1 min,Lost
Msb2,3/7/2019,1 min,Won
Msb2,3/7/2019,1 min,Won
Msb2,3/7/2019,30 sec,Won
Msb2,3/7/2019,30 sec,Lost
Msb2,3/7/2019,30 sec,Won
Msb2,3/7/2019,1 min,Won
Msb2,3/7/2019,1 min,Draw
Msb2,3/7/2019,1 min,Lost
Msb2,3/7/2019,1 min,Lost
Msb2,3/7/2019,1 min,Won
Msb2,3/6/2019,1 min,Lost
Msb2,3/6/2019,1 min,Won
Msb2,3/6/2019,1 min,Won
Msb2,3/6/2019,1 min,Won
Msb2,3/6/2019,1 min,Won
Msb2,3/6/2019,1 min,Won
Msb2,3/6/2019,1 min,Won
Msb2,3/6/2019,1 min,Won
Msb2,3/6/2019,1 min,Won
Msb2,3/6/2019,1 min,Draw
Msb2,3/6/2019,1 min,Won
Msb2,3/6/2019,1 min,Won
Msb2,3/6/2019,1 min,Won
Msb2,3/6/2019,1 min,Won
Msb2,3/6/2019,1 min,Won
Msb2,3/6/2019,1 min,Won
Msb2,3/6/2019,1 min,Won
Msb2,3/6/2019,1 min,Lost
Msb2,3/6/2019,1 min,Won
Msb2,3/6/2019,1 min,Won
Msb2,3/6/2019,1 min,Won
Msb2,3/6/2019,1 min,Draw
Msb2,3/6/2019,1 min,Won
Msb2,3/6/2019,1 min,Won
Msb2,3/6/2019,1 min,Won
Msb2,3/6/2019,1 min,Won
Msb2,2/23/2019,30 sec,Lost
Msb2,2/23/2019,30 sec,Lost
Msb2,2/23/2019,30 sec,Lost
Msb2,2/23/2019,30 sec,Draw
Msb2,2/23/2019,30 sec,Won
Msb2,2/19/2019,1 min,Lost
Msb2,2/19/2019,1 min,Won
Msb2,2/18/2019,1 min,Lost
Msb2,2/18/2019,1 min,Won
Msb2,2/18/2019,1 min,Won
Msb2,2/18/2019,1 min,Lost
Msb2,2/18/2019,1 min,Won
