player,date,time,result
Mykola-Bortnyk,4/8/2019,1 min,Lost
Mykola-Bortnyk,4/8/2019,1 min,Won
Mykola-Bortnyk,4/7/2019,1 min,Won
Mykola-Bortnyk,4/7/2019,1 min,Lost
Mykola-Bortnyk,4/7/2019,1 min,Lost
Mykola-Bortnyk,4/7/2019,1 min,Won
Mykola-Bortnyk,4/7/2019,1 min,Lost
Mykola-Bortnyk,4/7/2019,1 min,Lost
Mykola-Bortnyk,4/7/2019,1 min,Won
Mykola-Bortnyk,4/4/2019,1 min,Lost
Mykola-Bortnyk,4/4/2019,1 min,Draw
Mykola-Bortnyk,4/4/2019,1 min,Draw
Mykola-Bortnyk,4/4/2019,1 min,Won
Mykola-Bortnyk,4/4/2019,1 min,Lost
Mykola-Bortnyk,4/4/2019,1 min,Lost
Mykola-Bortnyk,4/4/2019,1 min,Won
Mykola-Bortnyk,4/4/2019,1 min,Lost
Mykola-Bortnyk,4/4/2019,1 min,Won
Mykola-Bortnyk,4/4/2019,1 min,Won
Mykola-Bortnyk,4/4/2019,1 min,Won
Mykola-Bortnyk,4/4/2019,1 min,Draw
Mykola-Bortnyk,4/4/2019,1 min,Won
Mykola-Bortnyk,4/4/2019,1 min,Won
Mykola-Bortnyk,4/4/2019,1 min,Won
Mykola-Bortnyk,4/4/2019,1 min,Won
Mykola-Bortnyk,4/4/2019,1 min,Lost
Mykola-Bortnyk,4/4/2019,1 min,Won
Mykola-Bortnyk,4/4/2019,1 min,Won
Mykola-Bortnyk,4/4/2019,1 min,Lost
Mykola-Bortnyk,4/4/2019,1 min,Draw
Mykola-Bortnyk,4/4/2019,1 min,Lost
Mykola-Bortnyk,4/4/2019,1 min,Lost
Mykola-Bortnyk,4/4/2019,1 min,Won
Mykola-Bortnyk,4/4/2019,1 min,Lost
Mykola-Bortnyk,4/4/2019,1 min,Lost
Mykola-Bortnyk,4/4/2019,1 min,Lost
Mykola-Bortnyk,4/4/2019,1 min,Won
Mykola-Bortnyk,4/4/2019,1 min,Won
Mykola-Bortnyk,4/4/2019,1 min,Won
Mykola-Bortnyk,4/4/2019,1 min,Lost
Mykola-Bortnyk,4/4/2019,30 sec,Lost
Mykola-Bortnyk,4/4/2019,30 sec,Lost
Mykola-Bortnyk,4/4/2019,30 sec,Lost
Mykola-Bortnyk,4/4/2019,30 sec,Lost
Mykola-Bortnyk,4/4/2019,30 sec,Won
Mykola-Bortnyk,4/4/2019,30 sec,Lost
Mykola-Bortnyk,4/4/2019,30 sec,Won
Mykola-Bortnyk,4/4/2019,30 sec,Won
Mykola-Bortnyk,4/4/2019,30 sec,Won
Mykola-Bortnyk,4/4/2019,30 sec,Lost
