player,date,time,result
Oleksandr_Bortnyk,4/3/2019,1 min,Won
Oleksandr_Bortnyk,4/3/2019,1 min,Won
Oleksandr_Bortnyk,4/3/2019,1 min,Won
Oleksandr_Bortnyk,4/3/2019,1 min,Won
Oleksandr_Bortnyk,3/28/2019,1 min,Won
Oleksandr_Bortnyk,3/28/2019,1 min,Won
Oleksandr_Bortnyk,3/28/2019,1 min,Lost
Oleksandr_Bortnyk,3/28/2019,1 min,Lost
Oleksandr_Bortnyk,3/21/2019,30 sec,Won
Oleksandr_Bortnyk,3/21/2019,30 sec,Lost
Oleksandr_Bortnyk,3/21/2019,30 sec,Draw
Oleksandr_Bortnyk,3/21/2019,30 sec,Won
Oleksandr_Bortnyk,3/21/2019,30 sec,Won
Oleksandr_Bortnyk,3/21/2019,30 sec,Lost
Oleksandr_Bortnyk,3/21/2019,30 sec,Lost
Oleksandr_Bortnyk,3/21/2019,30 sec,Lost
Oleksandr_Bortnyk,3/21/2019,30 sec,Won
Oleksandr_Bortnyk,3/21/2019,30 sec,Lost
Oleksandr_Bortnyk,3/21/2019,30 sec,Lost
Oleksandr_Bortnyk,3/21/2019,30 sec,Draw
Oleksandr_Bortnyk,3/21/2019,30 sec,Lost
Oleksandr_Bortnyk,3/21/2019,30 sec,Won
Oleksandr_Bortnyk,3/21/2019,30 sec,Lost
Oleksandr_Bortnyk,3/21/2019,30 sec,Lost
Oleksandr_Bortnyk,3/21/2019,30 sec,Lost
Oleksandr_Bortnyk,3/15/2019,30 sec,Won
Oleksandr_Bortnyk,3/15/2019,30 sec,Won
Oleksandr_Bortnyk,3/15/2019,30 sec,Lost
Oleksandr_Bortnyk,3/15/2019,30 sec,Lost
Oleksandr_Bortnyk,3/15/2019,30 sec,Won
Oleksandr_Bortnyk,3/15/2019,30 sec,Won
Oleksandr_Bortnyk,3/15/2019,30 sec,Lost
Oleksandr_Bortnyk,3/15/2019,30 sec,Lost
Oleksandr_Bortnyk,3/15/2019,30 sec,Draw
Oleksandr_Bortnyk,3/15/2019,30 sec,Lost
Oleksandr_Bortnyk,3/15/2019,30 sec,Lost
Oleksandr_Bortnyk,3/15/2019,30 sec,Won
Oleksandr_Bortnyk,3/15/2019,30 sec,Lost
Oleksandr_Bortnyk,3/15/2019,30 sec,Draw
Oleksandr_Bortnyk,3/15/2019,30 sec,Lost
Oleksandr_Bortnyk,3/15/2019,30 sec,Won
Oleksandr_Bortnyk,3/15/2019,30 sec,Draw
Oleksandr_Bortnyk,3/15/2019,1 min,Won
Oleksandr_Bortnyk,3/15/2019,1 min,Won
Oleksandr_Bortnyk,3/15/2019,1 min,Lost
Oleksandr_Bortnyk,3/15/2019,1 min,Draw
Oleksandr_Bortnyk,3/15/2019,1 min,Won
Oleksandr_Bortnyk,3/15/2019,1 min,Won
Oleksandr_Bortnyk,3/15/2019,1 min,Won
Oleksandr_Bortnyk,3/15/2019,1 min,Lost
