player,date,time,result
Polish_fighter3000,3/28/2019,30 sec,Lost
Polish_fighter3000,3/28/2019,30 sec,Lost
Polish_fighter3000,3/28/2019,30 sec,Won
Polish_fighter3000,3/28/2019,30 sec,Lost
Polish_fighter3000,3/28/2019,30 sec,Lost
Polish_fighter3000,3/28/2019,30 sec,Won
Polish_fighter3000,3/28/2019,30 sec,Won
Polish_fighter3000,3/28/2019,30 sec,Won
Polish_fighter3000,3/28/2019,30 sec,Won
Polish_fighter3000,3/28/2019,30 sec,Draw
Polish_fighter3000,3/28/2019,30 sec,Won
Polish_fighter3000,3/28/2019,30 sec,Lost
Polish_fighter3000,3/28/2019,30 sec,Won
Polish_fighter3000,3/28/2019,30 sec,Lost
Polish_fighter3000,3/28/2019,30 sec,Lost
Polish_fighter3000,3/28/2019,30 sec,Won
Polish_fighter3000,3/28/2019,30 sec,Won
Polish_fighter3000,3/28/2019,30 sec,Lost
Polish_fighter3000,3/28/2019,30 sec,Won
Polish_fighter3000,3/28/2019,30 sec,Won
Polish_fighter3000,3/28/2019,30 sec,Lost
Polish_fighter3000,3/28/2019,30 sec,Won
Polish_fighter3000,3/28/2019,30 sec,Won
Polish_fighter3000,3/28/2019,30 sec,Won
Polish_fighter3000,3/28/2019,30 sec,Lost
Polish_fighter3000,3/28/2019,30 sec,Lost
Polish_fighter3000,3/28/2019,30 sec,Lost
Polish_fighter3000,3/28/2019,30 sec,Won
Polish_fighter3000,3/28/2019,30 sec,Won
Polish_fighter3000,3/28/2019,30 sec,Won
Polish_fighter3000,3/28/2019,30 sec,Lost
Polish_fighter3000,3/28/2019,30 sec,Lost
Polish_fighter3000,3/28/2019,30 sec,Lost
Polish_fighter3000,3/28/2019,30 sec,Lost
Polish_fighter3000,3/28/2019,30 sec,Draw
Polish_fighter3000,3/28/2019,30 sec,Won
Polish_fighter3000,3/28/2019,30 sec,Won
Polish_fighter3000,3/28/2019,30 sec,Lost
Polish_fighter3000,3/28/2019,30 sec,Won
Polish_fighter3000,3/28/2019,30 sec,Lost
Polish_fighter3000,3/28/2019,30 sec,Won
Polish_fighter3000,3/28/2019,30 sec,Lost
Polish_fighter3000,3/28/2019,30 sec,Won
Polish_fighter3000,3/28/2019,30 sec,Won
Polish_fighter3000,3/28/2019,30 sec,Lost
Polish_fighter3000,3/28/2019,30 sec,Won
Polish_fighter3000,3/28/2019,30 sec,Won
Polish_fighter3000,3/28/2019,30 sec,Won
Polish_fighter3000,3/28/2019,30 sec,Won
Polish_fighter3000,3/28/2019,30 sec,Won
