player,date,time,result
Rafa-Nadal,4/25/2018,1 min,Won
Rafa-Nadal,4/25/2018,1 min,Won
Rafa-Nadal,4/25/2018,1 min,Lost
Rafa-Nadal,4/25/2018,1 min,Won
Rafa-Nadal,4/25/2018,1 min,Won
Rafa-Nadal,4/25/2018,1 min,Won
Rafa-Nadal,4/25/2018,1 min,Lost
Rafa-Nadal,4/25/2018,1 min,Won
Rafa-Nadal,4/25/2018,1 min,Won
Rafa-Nadal,4/25/2018,1 min,Lost
Rafa-Nadal,4/23/2018,1 min,Lost
Rafa-Nadal,4/23/2018,1 min,Lost
Rafa-Nadal,4/23/2018,1 min,Won
Rafa-Nadal,4/23/2018,1 min,Lost
Rafa-Nadal,4/23/2018,1 min,Won
Rafa-Nadal,4/23/2018,1 min,Lost
Rafa-Nadal,4/23/2018,1 min,Won
Rafa-Nadal,4/23/2018,1 min,Lost
Rafa-Nadal,4/23/2018,1 min,Lost
Rafa-Nadal,4/23/2018,1 min,Won
Rafa-Nadal,4/23/2018,1 min,Draw
Rafa-Nadal,4/23/2018,1 min,Won
Rafa-Nadal,4/23/2018,1 min,Won
Rafa-Nadal,4/23/2018,1 min,Lost
Rafa-Nadal,4/23/2018,1 min,Won
Rafa-Nadal,4/23/2018,1 min,Lost
Rafa-Nadal,4/23/2018,1 min,Lost
Rafa-Nadal,4/23/2018,1 min,Won
Rafa-Nadal,4/23/2018,1 min,Lost
Rafa-Nadal,4/23/2018,1 min,Lost
Rafa-Nadal,4/23/2018,1 min,Lost
Rafa-Nadal,4/23/2018,1 min,Won
Rafa-Nadal,4/23/2018,1 min,Won
Rafa-Nadal,4/19/2018,1 min,Won
Rafa-Nadal,4/19/2018,1 min,Won
Rafa-Nadal,4/19/2018,1 min,Lost
Rafa-Nadal,4/19/2018,1 min,Won
Rafa-Nadal,4/19/2018,1 min,Won
Rafa-Nadal,4/19/2018,1 min,Lost
Rafa-Nadal,4/19/2018,1 min,Won
Rafa-Nadal,4/19/2018,1 min,Won
Rafa-Nadal,4/19/2018,1 min,Lost
Rafa-Nadal,4/19/2018,1 min,Lost
Rafa-Nadal,4/15/2018,1 min,Won
Rafa-Nadal,4/9/2018,1 min,Won
Rafa-Nadal,4/9/2018,1 min,Won
Rafa-Nadal,4/9/2018,1 min,Won
Rafa-Nadal,4/9/2018,1 min,Draw
Rafa-Nadal,4/9/2018,1 min,Draw
Rafa-Nadal,4/6/2018,1 min,Won
