player,date,time,result
SomePatzer,2/8/2019,30 sec,Lost
SomePatzer,2/8/2019,30 sec,Lost
SomePatzer,2/8/2019,30 sec,Won
SomePatzer,2/8/2019,30 sec,Lost
SomePatzer,2/8/2019,30 sec,Lost
SomePatzer,2/8/2019,30 sec,Won
SomePatzer,2/8/2019,30 sec,Won
SomePatzer,2/8/2019,30 sec,Lost
SomePatzer,2/8/2019,30 sec,Won
SomePatzer,2/8/2019,30 sec,Won
SomePatzer,2/8/2019,30 sec,Won
SomePatzer,2/8/2019,30 sec,Lost
SomePatzer,2/8/2019,30 sec,Won
SomePatzer,2/8/2019,30 sec,Lost
SomePatzer,2/8/2019,30 sec,Won
SomePatzer,2/8/2019,30 sec,Lost
SomePatzer,2/8/2019,30 sec,Lost
SomePatzer,2/8/2019,30 sec,Won
SomePatzer,2/8/2019,30 sec,Won
SomePatzer,2/8/2019,30 sec,Lost
SomePatzer,2/8/2019,30 sec,Won
SomePatzer,2/8/2019,30 sec,Won
SomePatzer,2/8/2019,30 sec,Draw
SomePatzer,2/8/2019,30 sec,Lost
SomePatzer,2/8/2019,30 sec,Lost
SomePatzer,2/8/2019,30 sec,Lost
SomePatzer,2/8/2019,30 sec,Lost
SomePatzer,2/8/2019,30 sec,Won
SomePatzer,2/8/2019,30 sec,Lost
SomePatzer,2/1/2019,30 sec,Lost
SomePatzer,2/1/2019,30 sec,Lost
SomePatzer,2/1/2019,30 sec,Won
SomePatzer,2/1/2019,30 sec,Lost
SomePatzer,2/1/2019,30 sec,Won
SomePatzer,2/1/2019,30 sec,Lost
SomePatzer,2/1/2019,30 sec,Lost
SomePatzer,2/1/2019,30 sec,Lost
SomePatzer,2/1/2019,30 sec,Lost
SomePatzer,2/1/2019,30 sec,Lost
SomePatzer,2/1/2019,30 sec,Won
SomePatzer,2/1/2019,30 sec,Lost
SomePatzer,2/1/2019,30 sec,Lost
SomePatzer,2/1/2019,30 sec,Won
SomePatzer,2/1/2019,30 sec,Lost
SomePatzer,2/1/2019,30 sec,Won
SomePatzer,2/1/2019,30 sec,Won
SomePatzer,2/1/2019,30 sec,Lost
SomePatzer,2/1/2019,30 sec,Draw
SomePatzer,2/1/2019,30 sec,Lost
SomePatzer,2/1/2019,30 sec,Lost
