player,date,time,result
ViIIagra,3/12/2019,1 min,Won
ViIIagra,3/12/2019,1 min,Won
ViIIagra,3/12/2019,1 min,Won
ViIIagra,3/12/2019,1 min,Lost
ViIIagra,3/12/2019,1 min,Won
ViIIagra,3/12/2019,1 min,Won
ViIIagra,3/12/2019,1 min,Lost
ViIIagra,3/12/2019,1 min,Won
ViIIagra,3/12/2019,1 min,Lost
ViIIagra,3/12/2019,1 min,Lost
ViIIagra,3/12/2019,1 min,Won
ViIIagra,3/12/2019,1 min,Won
ViIIagra,3/12/2019,1 min,Draw
ViIIagra,3/12/2019,1 min,Won
ViIIagra,3/12/2019,1 min,Won
ViIIagra,3/12/2019,1 min,Lost
ViIIagra,3/12/2019,1 min,Won
ViIIagra,3/12/2019,1 min,Lost
ViIIagra,3/12/2019,1 min,Lost
ViIIagra,12/14/2018,1 min,Lost
ViIIagra,12/14/2018,1 min,Won
ViIIagra,12/14/2018,1 min,Won
ViIIagra,12/14/2018,1 min,Lost
ViIIagra,12/2/2018,1 min,Lost
ViIIagra,12/2/2018,1 min,Lost
ViIIagra,12/2/2018,1 min,Lost
ViIIagra,12/2/2018,1 min,Won
ViIIagra,12/2/2018,1 min,Lost
ViIIagra,12/2/2018,1 min,Won
ViIIagra,12/2/2018,1 min,Lost
ViIIagra,12/2/2018,1 min,Draw
ViIIagra,12/2/2018,1 min,Lost
ViIIagra,11/14/2017,1 min,Won
ViIIagra,11/14/2017,1 min,Won
ViIIagra,11/14/2017,1 min,Won
ViIIagra,11/14/2017,1 min,Lost
ViIIagra,11/14/2017,1 min,Won
ViIIagra,11/14/2017,1 min,Won
ViIIagra,11/14/2017,1 min,Lost
ViIIagra,11/14/2017,1 min,Won
ViIIagra,11/14/2017,1 min,Won
ViIIagra,11/14/2017,1 min,Won
ViIIagra,11/14/2017,1 min,Lost
ViIIagra,11/14/2017,1 min,Won
ViIIagra,11/14/2017,1 min,Lost
ViIIagra,11/14/2017,1 min,Lost
ViIIagra,11/14/2017,1 min,Lost
ViIIagra,11/14/2017,1 min,Won
ViIIagra,11/14/2017,1 min,Won
ViIIagra,11/14/2017,1 min,Won
