player,date,time,result
Wkurogane,3/13/2019,30 sec,Lost
Wkurogane,3/13/2019,30 sec,Won
Wkurogane,3/13/2019,30 sec,Lost
Wkurogane,3/13/2019,30 sec,Lost
Wkurogane,3/13/2019,30 sec,Won
Wkurogane,3/13/2019,30 sec,Lost
Wkurogane,3/13/2019,30 sec,Won
Wkurogane,3/13/2019,30 sec,Won
Wkurogane,3/13/2019,30 sec,Won
Wkurogane,3/13/2019,30 sec,Won
Wkurogane,3/13/2019,30 sec,Draw
Wkurogane,3/13/2019,30 sec,Won
Wkurogane,3/13/2019,30 sec,Won
Wkurogane,3/13/2019,30 sec,Won
Wkurogane,3/13/2019,30 sec,Won
Wkurogane,3/13/2019,30 sec,Won
Wkurogane,3/13/2019,30 sec,Won
Wkurogane,3/13/2019,30 sec,Won
Wkurogane,3/12/2019,30 sec,Won
Wkurogane,3/12/2019,30 sec,Won
Wkurogane,3/12/2019,30 sec,Won
Wkurogane,3/12/2019,30 sec,Won
Wkurogane,3/12/2019,30 sec,Won
Wkurogane,3/12/2019,30 sec,Lost
Wkurogane,3/12/2019,30 sec,Lost
Wkurogane,3/12/2019,30 sec,Won
Wkurogane,3/12/2019,30 sec,Lost
Wkurogane,3/12/2019,30 sec,Won
Wkurogane,3/12/2019,30 sec,Lost
Wkurogane,3/12/2019,30 sec,Won
Wkurogane,3/12/2019,30 sec,Lost
Wkurogane,3/12/2019,30 sec,Lost
Wkurogane,3/12/2019,30 sec,Won
Wkurogane,3/12/2019,30 sec,Won
Wkurogane,3/12/2019,30 sec,Won
Wkurogane,3/12/2019,30 sec,Won
Wkurogane,3/12/2019,30 sec,Won
Wkurogane,3/12/2019,30 sec,Won
Wkurogane,3/12/2019,30 sec,Lost
Wkurogane,3/12/2019,30 sec,Lost
Wkurogane,3/12/2019,30 sec,Won
Wkurogane,3/12/2019,30 sec,Won
Wkurogane,3/12/2019,30 sec,Won
Wkurogane,3/12/2019,30 sec,Lost
Wkurogane,3/12/2019,30 sec,Lost
Wkurogane,3/12/2019,30 sec,Won
Wkurogane,3/12/2019,30 sec,Lost
Wkurogane,3/12/2019,30 sec,Won
Wkurogane,3/12/2019,30 sec,Lost
Wkurogane,3/12/2019,30 sec,Won
