player,date,time,result
barzed,5/1/2018,1 min,Won
barzed,5/1/2018,1 min,Won
barzed,5/1/2018,1 min,Lost
barzed,5/1/2018,1 min,Won
barzed,4/29/2018,1 min,Won
barzed,4/29/2018,1 min,Won
barzed,4/29/2018,1 min,Draw
barzed,4/29/2018,1 min,Lost
barzed,4/29/2018,1 min,Won
barzed,4/29/2018,1 min,Lost
barzed,4/29/2018,1 min,Won
barzed,3/31/2018,1 min,Lost
barzed,3/31/2018,1 min,Lost
barzed,3/31/2018,1 min,Lost
barzed,3/31/2018,1 min,Lost
barzed,3/31/2018,1 min,Lost
barzed,3/31/2018,1 min,Won
barzed,3/31/2018,1 min,Won
barzed,3/31/2018,1 min,Lost
barzed,3/31/2018,1 min,Won
barzed,3/31/2018,1 min,Lost
barzed,3/31/2018,1 min,Won
barzed,3/31/2018,1 min,Won
barzed,3/31/2018,1 min,Won
barzed,3/31/2018,1 min,Lost
barzed,3/31/2018,1 min,Lost
barzed,3/31/2018,1 min,Lost
barzed,3/27/2018,1 min,Won
barzed,3/27/2018,1 min,Won
barzed,3/26/2018,1 min,Lost
barzed,3/22/2018,1 min,Won
barzed,10/28/2017,1 min,Lost
barzed,9/13/2017,1 min,Won
barzed,9/13/2017,1 min,Won
barzed,9/13/2017,1 min,Won
barzed,9/13/2017,1 min,Won
barzed,9/13/2017,1 min,Won
barzed,9/13/2017,1 min,Won
barzed,9/13/2017,1 min,Won
barzed,9/13/2017,1 min,Won
barzed,9/13/2017,1 min,Won
barzed,9/13/2017,1 min,Lost
barzed,9/13/2017,1 min,Lost
barzed,9/13/2017,1 min,Lost
barzed,9/13/2017,1 min,Won
barzed,9/13/2017,1 min,Won
barzed,9/13/2017,1 min,Won
barzed,9/13/2017,1 min,Lost
barzed,9/13/2017,1 min,Won
barzed,9/13/2017,1 min,Lost
