player,date,time,result
erichansen,3/24/2019,1 min,Won
erichansen,3/24/2019,1 min,Won
erichansen,3/24/2019,1 min,Lost
erichansen,3/24/2019,1 min,Won
erichansen,3/24/2019,1 min,Won
erichansen,3/24/2019,1 min,Lost
erichansen,3/24/2019,1 min,Draw
erichansen,3/24/2019,1 min,Lost
erichansen,3/24/2019,1 min,Draw
erichansen,3/24/2019,1 min,Lost
erichansen,3/24/2019,1 min,Lost
erichansen,3/24/2019,1 min,Lost
erichansen,3/24/2019,1 min,Won
erichansen,3/24/2019,1 min,Won
erichansen,3/24/2019,1 min,Lost
erichansen,3/24/2019,1 min,Lost
erichansen,3/24/2019,1 min,Lost
erichansen,3/24/2019,1 min,Won
erichansen,3/24/2019,1 min,Won
erichansen,3/24/2019,1 min,Lost
erichansen,3/24/2019,1 min,Lost
erichansen,3/24/2019,1 min,Won
erichansen,3/24/2019,1 min,Lost
erichansen,3/24/2019,1 min,Won
erichansen,3/24/2019,1 min,Won
erichansen,3/24/2019,1 min,Lost
erichansen,3/24/2019,1 min,Lost
erichansen,3/24/2019,1 min,Lost
erichansen,3/24/2019,1 min,Won
erichansen,3/24/2019,1 min,Lost
erichansen,3/24/2019,1 min,Lost
erichansen,3/24/2019,1 min,Lost
erichansen,3/24/2019,1 min,Won
erichansen,3/24/2019,1 min,Won
erichansen,3/24/2019,1 min,Draw
erichansen,3/24/2019,1 min,Lost
erichansen,3/24/2019,1 min,Lost
erichansen,3/24/2019,1 min,Won
erichansen,3/24/2019,1 min,Won
erichansen,3/24/2019,1 min,Lost
erichansen,3/24/2019,1 min,Won
erichansen,3/24/2019,1 min,Lost
erichansen,3/24/2019,1 min,Lost
erichansen,3/24/2019,1 min,Lost
erichansen,3/24/2019,1 min,Won
erichansen,3/24/2019,1 min,Lost
erichansen,3/24/2019,1 min,Won
erichansen,3/24/2019,1 min,Won
erichansen,3/24/2019,1 min,Lost
erichansen,3/24/2019,1 min,Won
