player,date,time,result
gmjlh,1/10/2019,1 min,Won
gmjlh,1/7/2019,1 min,Won
gmjlh,1/7/2019,1 min,Won
gmjlh,1/7/2019,1 min,Won
gmjlh,1/7/2019,1 min,Won
gmjlh,1/7/2019,1 min,Won
gmjlh,1/7/2019,1 min,Lost
gmjlh,1/7/2019,1 min,Won
gmjlh,1/7/2019,1 min,Won
gmjlh,1/7/2019,1 min,Won
gmjlh,1/7/2019,1 min,Lost
gmjlh,1/7/2019,1 min,Won
gmjlh,1/7/2019,1 min,Won
gmjlh,1/7/2019,1 min,Lost
gmjlh,1/7/2019,1 min,Won
gmjlh,1/7/2019,1 min,Won
gmjlh,1/7/2019,1 min,Won
gmjlh,1/7/2019,1 min,Won
gmjlh,1/7/2019,1 min,Won
gmjlh,1/7/2019,1 min,Won
gmjlh,1/7/2019,1 min,Won
gmjlh,1/7/2019,1 min,Won
gmjlh,1/7/2019,1 min,Won
gmjlh,1/7/2019,1 min,Won
gmjlh,1/7/2019,1 min,Won
gmjlh,1/7/2019,1 min,Won
gmjlh,1/7/2019,1 min,Won
gmjlh,1/7/2019,1 min,Won
gmjlh,1/7/2019,1 min,Won
gmjlh,1/7/2019,1 min,Lost
gmjlh,1/7/2019,1 min,Won
gmjlh,1/7/2019,1 min,Lost
gmjlh,1/7/2019,1 min,Draw
gmjlh,1/6/2019,1 min,Won
gmjlh,1/6/2019,1 min,Won
gmjlh,1/3/2019,1 min,Won
gmjlh,1/3/2019,1 min,Won
gmjlh,1/1/2019,1 min,Won
gmjlh,1/1/2019,1 min,Won
gmjlh,1/1/2019,1 min,Won
gmjlh,1/1/2019,1 min,Won
gmjlh,1/1/2019,1 min,Won
gmjlh,1/1/2019,1 min,Won
gmjlh,1/1/2019,1 min,Won
gmjlh,12/19/2018,1 min,Won
gmjlh,12/19/2018,1 min,Won
gmjlh,12/19/2018,1 min,Won
gmjlh,12/19/2018,1 min,Won
gmjlh,12/19/2018,1 min,Won
gmjlh,12/19/2018,1 min,Won
