player,date,time,result
kleinebeer98,4/4/2019,1 min,Lost
kleinebeer98,4/4/2019,1 min,Won
kleinebeer98,4/4/2019,1 min,Lost
kleinebeer98,4/4/2019,1 min,Lost
kleinebeer98,4/4/2019,1 min,Won
kleinebeer98,4/4/2019,1 min,Draw
kleinebeer98,4/4/2019,1 min,Lost
kleinebeer98,4/4/2019,1 min,Won
kleinebeer98,4/4/2019,1 min,Won
kleinebeer98,4/4/2019,1 min,Lost
kleinebeer98,4/4/2019,1 min,Lost
kleinebeer98,4/4/2019,1 min,Lost
kleinebeer98,4/4/2019,1 min,Won
kleinebeer98,4/4/2019,1 min,Draw
kleinebeer98,4/4/2019,1 min,Won
kleinebeer98,4/4/2019,1 min,Won
kleinebeer98,4/4/2019,1 min,Won
kleinebeer98,4/4/2019,1 min,Won
kleinebeer98,4/4/2019,1 min,Lost
kleinebeer98,4/4/2019,1 min,Won
kleinebeer98,4/4/2019,1 min,Won
kleinebeer98,4/4/2019,1 min,Won
kleinebeer98,4/4/2019,1 min,Won
kleinebeer98,4/4/2019,1 min,Lost
kleinebeer98,4/4/2019,1 min,Won
kleinebeer98,4/3/2019,1 min,Won
kleinebeer98,4/3/2019,1 min,Draw
kleinebeer98,4/3/2019,1 min,Won
kleinebeer98,4/3/2019,1 min,Won
kleinebeer98,4/3/2019,1 min,Won
kleinebeer98,4/3/2019,1 min,Won
kleinebeer98,4/3/2019,1 min,Draw
kleinebeer98,4/3/2019,1 min,Won
kleinebeer98,4/3/2019,1 min,Lost
kleinebeer98,4/3/2019,1 min,Won
kleinebeer98,4/3/2019,1 min,Lost
kleinebeer98,4/3/2019,1 min,Won
kleinebeer98,4/3/2019,1 min,Draw
kleinebeer98,4/3/2019,1 min,Won
kleinebeer98,4/3/2019,1 min,Lost
kleinebeer98,4/3/2019,1 min,Won
kleinebeer98,4/3/2019,1 min,Lost
kleinebeer98,4/3/2019,1 min,Lost
kleinebeer98,4/3/2019,1 min,Won
kleinebeer98,4/3/2019,1 min,Draw
kleinebeer98,4/3/2019,1 min,Lost
kleinebeer98,4/3/2019,1 min,Won
kleinebeer98,4/3/2019,1 min,Won
kleinebeer98,4/3/2019,1 min,Won
kleinebeer98,4/3/2019,1 min,Lost
