player,date,time,result
mishanick,1/2/2019,1 min,Lost
mishanick,1/2/2019,1 min,Draw
mishanick,1/2/2019,1 min,Won
mishanick,1/2/2019,1 min,Won
mishanick,1/1/2019,1|1,Won
mishanick,1/1/2019,1|1,Lost
mishanick,1/1/2019,1|1,Won
mishanick,1/1/2019,1|1,Won
mishanick,1/1/2019,1 min,Won
mishanick,1/1/2019,1 min,Won
mishanick,1/1/2019,1 min,Draw
mishanick,1/1/2019,1 min,Won
mishanick,1/1/2019,1 min,Won
mishanick,1/1/2019,1 min,Lost
mishanick,1/1/2019,1 min,Won
mishanick,1/1/2019,1 min,Won
mishanick,1/1/2019,1 min,Won
mishanick,1/1/2019,1 min,Won
mishanick,1/1/2019,1 min,Won
mishanick,1/1/2019,1 min,Lost
mishanick,1/1/2019,1 min,Lost
mishanick,1/1/2019,1 min,Won
mishanick,1/1/2019,1 min,Won
mishanick,1/1/2019,1 min,Lost
mishanick,1/1/2019,1 min,Lost
mishanick,1/1/2019,1 min,Won
mishanick,1/1/2019,1 min,Lost
mishanick,1/1/2019,1 min,Won
mishanick,1/1/2019,1 min,Won
mishanick,1/1/2019,1 min,Lost
mishanick,1/1/2019,1 min,Lost
mishanick,1/1/2019,1 min,Won
mishanick,1/1/2019,1 min,Won
mishanick,1/1/2019,1 min,Draw
mishanick,1/1/2019,1 min,Lost
mishanick,1/1/2019,1 min,Won
mishanick,1/1/2019,1 min,Lost
mishanick,1/1/2019,1 min,Won
mishanick,1/1/2019,1 min,Lost
mishanick,1/1/2019,1 min,Lost
mishanick,1/1/2019,1 min,Won
mishanick,1/1/2019,1 min,Won
mishanick,1/1/2019,1 min,Lost
mishanick,1/1/2019,1 min,Draw
mishanick,1/1/2019,1 min,Lost
mishanick,1/1/2019,1 min,Lost
mishanick,1/1/2019,1 min,Won
mishanick,1/1/2019,1 min,Lost
mishanick,1/1/2019,1 min,Won
mishanick,1/1/2019,1 min,Lost
