player,date,time,result
nihalsarin,4/1/2019,10 sec|1,Won
nihalsarin,4/1/2019,10 sec|1,Draw
nihalsarin,4/1/2019,10 sec|1,Draw
nihalsarin,4/1/2019,10 sec|1,Won
nihalsarin,4/1/2019,10 sec|1,Draw
nihalsarin,4/1/2019,10 sec|1,Lost
nihalsarin,4/1/2019,10 sec|1,Won
nihalsarin,4/1/2019,10 sec|1,Draw
nihalsarin,4/1/2019,10 sec|1,Lost
nihalsarin,4/1/2019,10 sec|1,Won
nihalsarin,4/1/2019,10 sec|1,Lost
nihalsarin,4/1/2019,10 sec|1,Lost
nihalsarin,4/1/2019,10 sec|1,Won
nihalsarin,4/1/2019,10 sec|1,Won
nihalsarin,4/1/2019,10 sec|1,Won
nihalsarin,4/1/2019,10 sec|1,Won
nihalsarin,4/1/2019,10 sec|1,Lost
nihalsarin,4/1/2019,10 sec|1,Won
nihalsarin,4/1/2019,10 sec|1,Lost
nihalsarin,4/1/2019,10 sec|1,Draw
nihalsarin,4/1/2019,10 sec|1,Won
nihalsarin,4/1/2019,10 sec|1,Won
nihalsarin,4/1/2019,10 sec|1,Won
nihalsarin,4/1/2019,10 sec|1,Won
nihalsarin,4/1/2019,10 sec|1,Draw
nihalsarin,4/1/2019,10 sec|1,Won
nihalsarin,4/1/2019,10 sec|1,Draw
nihalsarin,4/1/2019,10 sec|1,Draw
nihalsarin,4/1/2019,10 sec|1,Lost
nihalsarin,4/1/2019,10 sec|1,Won
nihalsarin,4/1/2019,10 sec|1,Won
nihalsarin,4/1/2019,10 sec|1,Won
nihalsarin,4/1/2019,10 sec|1,Lost
nihalsarin,4/1/2019,10 sec|1,Won
nihalsarin,4/1/2019,10 sec|1,Lost
nihalsarin,4/1/2019,10 sec|1,Won
nihalsarin,4/1/2019,10 sec|1,Lost
nihalsarin,4/1/2019,10 sec|1,Won
nihalsarin,4/1/2019,10 sec|1,Lost
nihalsarin,4/1/2019,10 sec|1,Lost
nihalsarin,4/1/2019,10 sec|1,Won
nihalsarin,4/1/2019,10 sec|1,Lost
nihalsarin,4/1/2019,10 sec|1,Lost
nihalsarin,4/1/2019,10 sec|1,Won
nihalsarin,4/1/2019,10 sec|1,Lost
nihalsarin,4/1/2019,10 sec|1,Lost
nihalsarin,4/1/2019,10 sec|1,Won
nihalsarin,4/1/2019,10 sec|1,Won
nihalsarin,4/1/2019,10 sec|1,Won
nihalsarin,4/1/2019,10 sec|1,Lost
