player,date,time,result
penguingm1,2/28/2019,30 sec,Won
penguingm1,2/28/2019,30 sec,Won
penguingm1,2/28/2019,30 sec,Won
penguingm1,2/28/2019,30 sec,Won
penguingm1,2/28/2019,30 sec,Won
penguingm1,2/28/2019,30 sec,Draw
penguingm1,2/28/2019,30 sec,Won
penguingm1,2/28/2019,30 sec,Lost
penguingm1,2/28/2019,30 sec,Lost
penguingm1,2/28/2019,30 sec,Won
penguingm1,2/28/2019,30 sec,Won
penguingm1,2/28/2019,30 sec,Won
penguingm1,2/28/2019,30 sec,Won
penguingm1,2/28/2019,30 sec,Won
penguingm1,2/28/2019,30 sec,Won
penguingm1,2/28/2019,30 sec,Lost
penguingm1,2/28/2019,30 sec,Won
penguingm1,2/28/2019,30 sec,Won
penguingm1,2/28/2019,30 sec,Won
penguingm1,2/28/2019,30 sec,Won
penguingm1,2/28/2019,30 sec,Won
penguingm1,2/28/2019,1 min,Won
penguingm1,2/28/2019,1 min,Won
penguingm1,2/28/2019,30 sec,Lost
penguingm1,2/28/2019,30 sec,Won
penguingm1,2/28/2019,30 sec,Won
penguingm1,2/28/2019,30 sec,Won
penguingm1,2/28/2019,30 sec,Won
penguingm1,2/28/2019,30 sec,Won
penguingm1,2/28/2019,30 sec,Draw
penguingm1,2/28/2019,30 sec,Won
penguingm1,2/28/2019,30 sec,Lost
penguingm1,2/28/2019,30 sec,Won
penguingm1,2/28/2019,30 sec,Lost
penguingm1,2/28/2019,30 sec,Lost
penguingm1,2/28/2019,30 sec,Lost
penguingm1,2/28/2019,30 sec,Lost
penguingm1,2/28/2019,30 sec,Draw
penguingm1,2/28/2019,30 sec,Draw
penguingm1,2/28/2019,30 sec,Draw
penguingm1,2/28/2019,30 sec,Won
penguingm1,2/28/2019,30 sec,Draw
penguingm1,2/28/2019,30 sec,Lost
penguingm1,2/28/2019,30 sec,Won
penguingm1,2/28/2019,30 sec,Lost
penguingm1,2/28/2019,30 sec,Won
penguingm1,2/28/2019,30 sec,Won
penguingm1,2/28/2019,30 sec,Won
penguingm1,2/28/2019,30 sec,Won
penguingm1,2/28/2019,30 sec,Lost
