player,date,time,result
samhawkins,9/19/2018,1 min,Lost
samhawkins,9/19/2018,1 min,Lost
samhawkins,9/19/2018,1 min,Lost
samhawkins,9/19/2018,1 min,Lost
samhawkins,9/19/2018,1 min,Lost
samhawkins,9/19/2018,1 min,Lost
samhawkins,9/19/2018,1 min,Won
samhawkins,9/19/2018,1 min,Won
samhawkins,9/19/2018,1 min,Lost
samhawkins,9/19/2018,1 min,Lost
samhawkins,9/19/2018,1 min,Won
samhawkins,9/19/2018,1 min,Won
samhawkins,9/19/2018,1 min,Lost
samhawkins,9/19/2018,1 min,Lost
samhawkins,9/19/2018,1 min,Lost
samhawkins,9/19/2018,1 min,Lost
samhawkins,9/19/2018,1 min,Won
samhawkins,9/19/2018,1 min,Won
samhawkins,9/19/2018,1 min,Draw
samhawkins,9/19/2018,1 min,Lost
samhawkins,9/19/2018,1 min,Lost
samhawkins,9/19/2018,1 min,Won
samhawkins,9/19/2018,1 min,Lost
samhawkins,9/19/2018,1 min,Draw
samhawkins,9/19/2018,1 min,Lost
samhawkins,9/19/2018,1 min,Lost
samhawkins,9/19/2018,1 min,Won
samhawkins,9/19/2018,1 min,Won
samhawkins,9/19/2018,1 min,Won
samhawkins,9/19/2018,1 min,Lost
samhawkins,9/19/2018,1 min,Lost
samhawkins,9/19/2018,1 min,Lost
samhawkins,9/19/2018,1 min,Won
samhawkins,9/19/2018,1 min,Lost
samhawkins,9/19/2018,1 min,Won
samhawkins,9/19/2018,1 min,Lost
samhawkins,9/19/2018,1 min,Lost
samhawkins,9/19/2018,1 min,Won
samhawkins,9/19/2018,1 min,Won
samhawkins,9/19/2018,1 min,Won
samhawkins,9/19/2018,1 min,Lost
samhawkins,9/19/2018,1 min,Won
samhawkins,9/19/2018,1 min,Lost
samhawkins,9/19/2018,1 min,Lost
samhawkins,9/19/2018,1 min,Won
samhawkins,9/19/2018,1 min,Won
samhawkins,9/19/2018,1 min,Won
samhawkins,9/19/2018,1 min,Won
samhawkins,7/19/2018,1 min,Won
samhawkins,7/19/2018,1 min,Won
