player,date,time,result
sparkleflake127,3/7/2019,30 sec,Won
sparkleflake127,3/7/2019,30 sec,Lost
sparkleflake127,3/7/2019,30 sec,Lost
sparkleflake127,3/6/2019,30 sec,Lost
sparkleflake127,3/6/2019,30 sec,Lost
sparkleflake127,3/6/2019,30 sec,Lost
sparkleflake127,3/6/2019,30 sec,Lost
sparkleflake127,3/6/2019,30 sec,Won
sparkleflake127,3/6/2019,30 sec,Won
sparkleflake127,3/6/2019,30 sec,Lost
sparkleflake127,3/6/2019,30 sec,Lost
sparkleflake127,3/6/2019,30 sec,Won
sparkleflake127,3/6/2019,30 sec,Won
sparkleflake127,3/5/2019,1 min,Won
sparkleflake127,3/5/2019,30 sec,Won
sparkleflake127,3/5/2019,30 sec,Lost
sparkleflake127,3/5/2019,30 sec,Lost
sparkleflake127,3/5/2019,30 sec,Won
sparkleflake127,3/5/2019,30 sec,Won
sparkleflake127,3/5/2019,30 sec,Won
sparkleflake127,3/5/2019,30 sec,Won
sparkleflake127,3/5/2019,30 sec,Won
sparkleflake127,3/5/2019,30 sec,Lost
sparkleflake127,3/5/2019,30 sec,Draw
sparkleflake127,3/5/2019,30 sec,Lost
sparkleflake127,3/5/2019,30 sec,Won
sparkleflake127,3/5/2019,1 min,Lost
sparkleflake127,3/5/2019,1 min,Won
sparkleflake127,3/5/2019,1 min,Lost
sparkleflake127,3/5/2019,1 min,Won
sparkleflake127,3/5/2019,1 min,Lost
sparkleflake127,3/5/2019,1 min,Won
sparkleflake127,3/5/2019,1 min,Won
sparkleflake127,3/5/2019,1 min,Lost
sparkleflake127,3/5/2019,30 sec,Lost
sparkleflake127,3/5/2019,30 sec,Won
sparkleflake127,3/5/2019,30 sec,Draw
sparkleflake127,3/5/2019,30 sec,Won
sparkleflake127,3/5/2019,30 sec,Won
sparkleflake127,3/5/2019,30 sec,Lost
sparkleflake127,3/5/2019,30 sec,Won
sparkleflake127,3/5/2019,30 sec,Lost
sparkleflake127,3/5/2019,30 sec,Won
sparkleflake127,3/5/2019,30 sec,Won
sparkleflake127,3/5/2019,30 sec,Won
sparkleflake127,3/5/2019,30 sec,Draw
sparkleflake127,3/5/2019,30 sec,Lost
sparkleflake127,3/5/2019,30 sec,Won
sparkleflake127,3/5/2019,30 sec,Won
sparkleflake127,3/5/2019,30 sec,Won
