player,date,time,result
spectralsoul,4/2/2019,1 min,Won
spectralsoul,4/2/2019,1 min,Won
spectralsoul,4/2/2019,1 min,Won
spectralsoul,3/30/2019,1 min,Won
spectralsoul,3/30/2019,1 min,Won
spectralsoul,3/30/2019,1 min,Won
spectralsoul,3/30/2019,1 min,Won
spectralsoul,3/30/2019,1 min,Lost
spectralsoul,3/30/2019,1 min,Lost
spectralsoul,3/30/2019,1 min,Lost
spectralsoul,3/30/2019,1 min,Won
spectralsoul,3/30/2019,1 min,Lost
spectralsoul,3/30/2019,1 min,Won
spectralsoul,3/30/2019,1 min,Won
spectralsoul,3/30/2019,1 min,Lost
spectralsoul,3/30/2019,1 min,Won
spectralsoul,3/30/2019,1 min,Won
spectralsoul,3/30/2019,1 min,Won
spectralsoul,3/30/2019,1 min,Won
spectralsoul,3/30/2019,1 min,Lost
spectralsoul,3/30/2019,1 min,Won
spectralsoul,3/30/2019,1 min,Won
spectralsoul,3/30/2019,1 min,Lost
spectralsoul,3/30/2019,1 min,Won
spectralsoul,3/30/2019,1 min,Lost
spectralsoul,3/30/2019,1 min,Lost
spectralsoul,3/30/2019,1 min,Lost
spectralsoul,3/30/2019,1 min,Lost
spectralsoul,3/30/2019,1 min,Lost
spectralsoul,3/30/2019,1 min,Draw
spectralsoul,3/30/2019,1 min,Lost
spectralsoul,3/30/2019,1 min,Lost
spectralsoul,3/30/2019,1 min,Lost
spectralsoul,3/30/2019,1 min,Lost
spectralsoul,3/30/2019,1 min,Lost
spectralsoul,3/29/2019,1 min,Won
spectralsoul,3/29/2019,1 min,Won
spectralsoul,3/29/2019,1 min,Won
spectralsoul,3/29/2019,1 min,Won
spectralsoul,3/29/2019,1 min,Won
spectralsoul,3/29/2019,1 min,Won
spectralsoul,3/29/2019,1 min,Won
spectralsoul,3/29/2019,1 min,Won
spectralsoul,3/28/2019,1 min,Won
spectralsoul,3/28/2019,1 min,Won
spectralsoul,3/28/2019,1 min,Won
spectralsoul,3/28/2019,1 min,Won
spectralsoul,3/28/2019,1 min,Lost
spectralsoul,3/28/2019,1 min,Lost
spectralsoul,3/28/2019,1 min,Lost
