player,date,time,result
wonderfultime,2/2/2019,30 sec,Lost
wonderfultime,2/2/2019,30 sec,Lost
wonderfultime,2/2/2019,30 sec,Won
wonderfultime,2/2/2019,30 sec,Lost
wonderfultime,2/2/2019,30 sec,Lost
wonderfultime,2/2/2019,30 sec,Lost
wonderfultime,2/2/2019,30 sec,Lost
wonderfultime,2/2/2019,30 sec,Won
wonderfultime,2/2/2019,30 sec,Lost
wonderfultime,2/2/2019,30 sec,Lost
wonderfultime,2/2/2019,30 sec,Won
wonderfultime,2/2/2019,30 sec,Lost
wonderfultime,2/2/2019,30 sec,Lost
wonderfultime,2/2/2019,30 sec,Won
wonderfultime,2/2/2019,30 sec,Lost
wonderfultime,2/2/2019,30 sec,Won
wonderfultime,2/2/2019,30 sec,Lost
wonderfultime,2/2/2019,30 sec,Lost
wonderfultime,2/2/2019,30 sec,Lost
wonderfultime,2/2/2019,30 sec,Lost
wonderfultime,2/2/2019,30 sec,Lost
wonderfultime,2/2/2019,30 sec,Lost
wonderfultime,2/2/2019,30 sec,Won
wonderfultime,2/2/2019,30 sec,Won
wonderfultime,2/2/2019,30 sec,Won
wonderfultime,2/2/2019,30 sec,Lost
wonderfultime,2/2/2019,30 sec,Won
wonderfultime,2/2/2019,30 sec,Won
wonderfultime,2/2/2019,1 min,Won
wonderfultime,2/2/2019,1 min,Won
wonderfultime,2/2/2019,1 min,Lost
wonderfultime,2/2/2019,1 min,Lost
wonderfultime,2/2/2019,1 min,Draw
wonderfultime,2/2/2019,1 min,Lost
wonderfultime,2/1/2019,1 min,Won
wonderfultime,2/1/2019,1 min,Draw
wonderfultime,2/1/2019,1 min,Won
wonderfultime,2/1/2019,1 min,Won
wonderfultime,2/1/2019,1 min,Won
wonderfultime,2/1/2019,1 min,Lost
wonderfultime,2/1/2019,1 min,Won
wonderfultime,2/1/2019,1 min,Won
wonderfultime,2/1/2019,1 min,Lost
wonderfultime,2/1/2019,1 min,Lost
wonderfultime,2/1/2019,1 min,Lost
wonderfultime,2/1/2019,1 min,Lost
wonderfultime,2/1/2019,1 min,Won
wonderfultime,1/30/2019,1 min,Won
wonderfultime,1/30/2019,1 min,Won
wonderfultime,1/30/2019,1 min,Won
