player,date,time,result
xxysoul6,4/2/2018,1 min,Won
xxysoul6,4/2/2018,1 min,Draw
xxysoul6,4/2/2018,1 min,Won
xxysoul6,4/2/2018,1 min,Won
xxysoul6,4/2/2018,1 min,Draw
xxysoul6,4/2/2018,1 min,Won
xxysoul6,4/2/2018,1 min,Lost
xxysoul6,4/2/2018,1 min,Won
xxysoul6,4/2/2018,1 min,Won
xxysoul6,4/2/2018,1 min,Won
xxysoul6,4/2/2018,1 min,Won
xxysoul6,4/2/2018,1 min,Lost
xxysoul6,4/2/2018,1 min,Won
xxysoul6,4/2/2018,1 min,Won
xxysoul6,4/2/2018,1 min,Lost
xxysoul6,4/2/2018,1 min,Won
xxysoul6,4/2/2018,1 min,Won
xxysoul6,4/2/2018,1 min,Won
xxysoul6,4/2/2018,1 min,Lost
xxysoul6,4/2/2018,1 min,Draw
xxysoul6,4/2/2018,1 min,Draw
xxysoul6,4/2/2018,1 min,Won
xxysoul6,4/2/2018,1 min,Lost
xxysoul6,3/25/2018,1 min,Won
xxysoul6,3/25/2018,1 min,Won
xxysoul6,3/25/2018,1 min,Won
xxysoul6,3/25/2018,1 min,Won
xxysoul6,3/25/2018,1 min,Won
xxysoul6,3/25/2018,1 min,Won
xxysoul6,3/25/2018,1 min,Won
xxysoul6,3/25/2018,1 min,Won
xxysoul6,3/25/2018,1 min,Won
xxysoul6,3/25/2018,1 min,Won
xxysoul6,3/25/2018,1 min,Won
xxysoul6,3/25/2018,1 min,Won
xxysoul6,3/25/2018,1 min,Lost
xxysoul6,3/25/2018,1 min,Lost
xxysoul6,3/25/2018,1 min,Won
xxysoul6,3/25/2018,1 min,Lost
xxysoul6,3/24/2018,1 min,Won
xxysoul6,3/24/2018,1 min,Won
xxysoul6,3/24/2018,1 min,Won
xxysoul6,3/24/2018,1 min,Won
xxysoul6,3/24/2018,1 min,Won
xxysoul6,3/24/2018,1 min,Won
xxysoul6,3/24/2018,1 min,Won
xxysoul6,3/24/2018,1 min,Won
xxysoul6,3/24/2018,1 min,Won
xxysoul6,3/24/2018,1 min,Won
xxysoul6,3/24/2018,1 min,Lost
